row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dưvốn cổ phần,Quỹ của TCTD,Lợi nhuậnchưa phân phối,Cộng,numeric__Vốn điều lệ,numeric__Thặng dưvốn cổ phần,numeric__Quỹ của TCTD,numeric__Lợi nhuậnchưa phân phối,numeric__Cộng
Số đầu năm trước,Số đầu năm trước,Số đầu năm trước,3.080.000,716,281.249,72.906,3.434.871,3080000.0,716.0,281249.0,72906.0,3434871.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,144.622,144.622,,,,144622.0,144622.0
Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,-,-,6.244,(6.244),-,,,6244.0,-6244.0,
Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2018,Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2018,Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2018,-,-,-,(17.100),(17.100),,,,-17100.0,-17100.0
"Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát","Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát","Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát",-,-,-,(1.187),(1.187),,,,-1187.0,-1187.0
Số cuối năm trước,Số cuối năm trước,Số cuối năm trước,3.080.000,716,287.493,192.997,3.561.206,3080000.0,716.0,287493.0,192997.0,3561206.0
Số đầu năm nay,Số đầu năm nay,Số đầu năm nay,3.080.000,716,287.493,192.997,3.561.206,3080000.0,716.0,287493.0,192997.0,3561206.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,97.046,97.046,,,,97046.0,97046.0
Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,-,-,21.693,(21.693),-,,,21693.0,-21693.0,
Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2019,Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2019,Trích lập quỹ khen thưởng và phúc lợi từ lợi nhuận năm 2019,-,-,-,(35.567),(35.567),,,,-35567.0,-35567.0
Trích lập quỹ khen thưởng Người quản lý,Trích lập quỹ khen thưởng Người quản lý,Trích lập quỹ khen thưởng Người quản lý,-,-,-,(500),(500),,,,-500.0,-500.0
"Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát","Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát","Trích lập quỹ hoạt động Hội đồng quản trị, Ban kiểm soát",-,-,-,(876),(876),,,,-876.0,-876.0
Số cuối năm nay,Số cuối năm nay,Số cuối năm nay,3.080.000,716,309.186,231.407,3.621.309,3080000.0,716.0,309186.0,231407.0,3621309.0
