row_label_raw,row_label_full,col_0,Số dư,Số dư_1,numeric__Số dư,numeric__Số dư_1
,,,31/12/2020Triệu VNDTài sản/(Nợ phải trả),31/12/2019Triệu VNDTài sản/(Nợ phải trả),,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,,
"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")",,
▪ Góp vốn,"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"") > ▪ Góp vốn",▪ Góp vốn,20.000,20.000,20000.0,20000.0
▪ Nhận tiền gửi không kỳ hạn và có kỳ hạn,"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"") > ▪ Nhận tiền gửi không kỳ hạn và có kỳ hạn",▪ Nhận tiền gửi không kỳ hạn và có kỳ hạn,(49.459),(45.427),-49459.0,-45427.0
▪ Lãi dự trả tiền gửi,"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"") > ▪ Lãi dự trả tiền gửi",▪ Lãi dự trả tiền gửi,(561),(838),-561.0,-838.0
"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")",,
▪ Góp vốn,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Góp vốn",▪ Góp vốn,1.103.809,1.166.480,1103809.0,1166480.0
▪ Nhận tiền gửi không kỳ hạn,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Nhận tiền gửi không kỳ hạn",▪ Nhận tiền gửi không kỳ hạn,(1.053.119),(315.653),-1053119.0,-315653.0
▪ Cho vay,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Cho vay",▪ Cho vay,1.462.026,1.468.982,1462026.0,1468982.0
▪ Lãi dự thu cho vay,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Lãi dự thu cho vay",▪ Lãi dự thu cho vay,15.113,8.177,15113.0,8177.0
"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")",,
▪ Góp vốn,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"") > ▪ Góp vốn",▪ Góp vốn,1.744.452,1.749.000,1744452.0,1749000.0
▪ Nhận tiền gửi không kỳ hạn,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"") > ▪ Nhận tiền gửi không kỳ hạn",▪ Nhận tiền gửi không kỳ hạn,(705.672),(211.762),-705672.0,-211762.0
▪ Cho vay,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"") > ▪ Cho vay",▪ Cho vay,3.814.800,3.832.950,3814800.0,3832950.0
▪ Lãi dự trả tiền gửi,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"") > ▪ Lãi dự trả tiền gửi",▪ Lãi dự trả tiền gửi,(1.537),-,-1537.0,
▪ Lãi dự thu cho vay,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"") > ▪ Lãi dự thu cho vay",▪ Lãi dự thu cho vay,13.855,7.327,13855.0,7327.0
Công ty TNHH MTV Tài chính Ngân hàng TMCP,Công ty TNHH MTV Tài chính Ngân hàng TMCP,Công ty TNHH MTV Tài chính Ngân hàng TMCP,Công ty TNHH MTV Tài chính Ngân hàng TMCP,Công ty TNHH MTV Tài chính Ngân hàng TMCP,,
