row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,452.564,282.882,213.609,181.093,30,1.130.178,452564.0,282882.0,213609.0,181093.0,30.0,1130178.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,10.166,6.966,22.153,38.865,776,78.926,10166.0,6966.0,22153.0,38865.0,776.0,78926.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.766),(1.936),(3.737),(1.094),-,(12.533),-5766.0,-1936.0,-3737.0,-1094.0,,-12533.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(7.543),(58.688),2.619,50.080,(472),(14.004),-7543.0,-58688.0,2619.0,50080.0,-472.0,-14004.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,449.421,229.224,234.644,268.944,334,1.182.567,449421.0,229224.0,234644.0,268944.0,334.0,1182567.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,155.177,229.986,145.042,146.710,1,676.916,155177.0,229986.0,145042.0,146710.0,1.0,676916.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.427,1.717,15.458,15.620,2,41.224,8427.0,1717.0,15458.0,15620.0,2.0,41224.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.566),(1.936),(3.738),(1.085),-,(12.325),-5566.0,-1936.0,-3738.0,-1085.0,,-12325.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,(2.853),(20.444),1.520,12.749,(1),(9.029),-2853.0,-20444.0,1520.0,12749.0,-1.0,-9029.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,155.185,209.323,158.282,173.994,2,696.786,155185.0,209323.0,158282.0,173994.0,2.0,696786.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,297.387,52.896,68.567,34.383,29,453.262,297387.0,52896.0,68567.0,34383.0,29.0,453262.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,294.236,19.901,76.362,94.950,332,485.781,294236.0,19901.0,76362.0,94950.0,332.0,485781.0
