row_label_raw,row_label_full,Tại 31 tháng 12 năm 2020(Triệu VND),Quá hạn > Trên 3 tháng,Quá hạn > Dưới 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 đến 3 tháng,Trong hạn > Từ 3 đến 12 tháng,Trong hạn > Từ 1 đến 5 năm,Trong hạn > Trên 5 năm,Tổng cộng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Dưới 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến 3 tháng,numeric__Trong hạn > Từ 3 đến 12 tháng,numeric__Trong hạn > Từ 1 đến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.554.080,-,-,-,-,1.554.080,,,1554080.0,,,,,1554080.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,13.997.150,-,-,-,-,13.997.150,,,13997150.0,,,,,13997150.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,32.145.937,4.763.290,-,676,-,36.909.903,,,32145937.0,4763290.0,,676.0,,36909903.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,11.766,85.494,37.181,-,-,134.441,,,11766.0,85494.0,37181.0,,,134441.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,5.149.173,5.881.417,15.775.825,38.250.382,70.768.954,83.113.861,73.828.743,292.768.355,5149173.0,5881417.0,15775825.0,38250382.0,70768954.0,83113861.0,73828743.0,292768355.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,817.000,-,61.454,301.846,6.886.789,6.703.887,14.747.623,29.518.599,817000.0,,61454.0,301846.0,6886789.0,6703887.0,14747623.0,29518599.0
"Góp vốn, đầu tư dài hạn - gộp","Tải sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,4.034.152,4.034.152,,,,,,,4034152.0,4034152.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,-,1.603.937,-,1.728,39.256,3.166.157,4.811.078,,,1603937.0,,1728.0,39256.0,3166157.0,4811078.0
Tài sản Có khác - gộp,Tải sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,187.500,-,15.387.667,5.761.545,6.926.048,36.073,3.291,28.302.124,187500.0,,15387667.0,5761545.0,6926048.0,36073.0,3291.0,28302124.0
,,,6.153.673,5.881.417,80.537.816,49.162.557,84.620.700,89.893.753,95.779.966,412.029.882,6153673.0,5881417.0,80537816.0,49162557.0,84620700.0,89893753.0,95779966.0,412029882.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,77.008,532.704,-,-,609.712,,,,77008.0,532704.0,,,609712.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,22.872.152,7.284.202,7.368.973,1.197.427,150.595,38.873.349,,,22872152.0,7284202.0,7368973.0,1197427.0,150595.0,38873349.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,76.746.910,56.297.994,124.101.971,44.178.779,1.672,301.327.326,,,76746910.0,56297994.0,124101971.0,44178779.0,1672.0,301327326.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,6.800,47.627,633.974,2.285.591,538.975,3.512.967,,,6800.0,47627.0,633974.0,2285591.0,538975.0,3512967.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,946.989,1.973.117,6.159.437,8.189.148,11.827.368,29.096.059,,,946989.0,1973117.0,6159437.0,8189148.0,11827368.0,29096059.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,10.534.431,-,-,-,-,10.534.431,,,10534431.0,,,,,10534431.0
,,,-,-,111.107.282,65.679.948,138.797.059,55.850.945,12.518.610,383.953.844,,,111107282.0,65679948.0,138797059.0,55850945.0,12518610.0,383953844.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,6.153.673,5.881.417,(30.569.466),(16.517.391),(54.176.359),34.042.808,83.261.356,28.076.038,6153673.0,5881417.0,-30569466.0,-16517391.0,-54176359.0,34042808.0,83261356.0,28076038.0
