row_label_raw,row_label_full,col_0,Giao dịch,Giao dịch_1,numeric__Giao dịch,numeric__Giao dịch_1
,,,2020Triệu VNDDoanh thu/(chi phí),2019Triệu VNDDoanh thu/(chi phí),,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,Công ty TNHH MTV Quản lý Nợ và Khai thác,,
"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")","Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"")",,
▪ Chi phí lãi tiền gửi,"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"") > ▪ Chi phí lãi tiền gửi",▪ Chi phí lãi tiền gửi,(2.183),(1.958),-2183.0,-1958.0
▪ Chi phí khác,"Tài sản NH TMCP Sài Gòn - Hà Nội (""SHB AMC"") > ▪ Chi phí khác",▪ Chi phí khác,(76.831),(85.706),-76831.0,-85706.0
"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"")",,
▪ Chi phí lãi tiền gửi,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Lào (""SHB Lào"") > ▪ Chi phí lãi tiền gửi",▪ Chi phí lãi tiền gửi,(79.809),(18.965),-79809.0,-18965.0
▪ Thu lãi tiền gửi,▪ Thu lãi tiền gửi,▪ Thu lãi tiền gửi,-,-,,
Công ty TNHH MTV Tài chính Ngân hàng TMCP,Công ty TNHH MTV Tài chính Ngân hàng TMCP,Công ty TNHH MTV Tài chính Ngân hàng TMCP,Công ty TNHH MTV Tài chính Ngân hàng TMCP,Công ty TNHH MTV Tài chính Ngân hàng TMCP,,
"Sài Gòn - Hà Nội (""SHB FC"")","Sài Gòn - Hà Nội (""SHB FC"")","Sài Gòn - Hà Nội (""SHB FC"")","Sài Gòn - Hà Nội (""SHB FC"")","Sài Gòn - Hà Nội (""SHB FC"")",,
▪ Chi phí lãi tiền gửi,"Sài Gòn - Hà Nội (""SHB FC"") > ▪ Chi phí lãi tiền gửi",▪ Chi phí lãi tiền gửi,(707),(7.647),-707.0,-7647.0
▪ Chi phí lãi trái phiếu,"Sài Gòn - Hà Nội (""SHB FC"") > ▪ Chi phí lãi trái phiếu",▪ Chi phí lãi trái phiếu,-,(403),,-403.0
▪ Thu nhập từ cho thuê văn phòng,"Sài Gòn - Hà Nội (""SHB FC"") > ▪ Thu nhập từ cho thuê văn phòng",▪ Thu nhập từ cho thuê văn phòng,198,1.200,198.0,1200.0
▪ Thu lãi tiền gửi,▪ Thu lãi tiền gửi,▪ Thu lãi tiền gửi,,-,,
"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")","Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"")",,
▪ Chi phí lãi tiền gửi,"Ngân hàng TNHH MTV Sài Gòn Hà Nội Campuchia(""SHB Campuchia"") > ▪ Chi phí lãi tiền gửi",▪ Chi phí lãi tiền gửi,(187.724),(3.693),-187724.0,-3693.0
"Thành viên Hội đồng Quản trị, Ban Điều hành","Thành viên Hội đồng Quản trị, Ban Điều hành","Thành viên Hội đồng Quản trị, Ban Điều hành","Thành viên Hội đồng Quản trị, Ban Điều hành","Thành viên Hội đồng Quản trị, Ban Điều hành",,
▪ Thù lao của Hội đồng Quản trị,"Thành viên Hội đồng Quản trị, Ban Điều hành > ▪ Thù lao của Hội đồng Quản trị",▪ Thù lao của Hội đồng Quản trị,35.210,38.611,35210.0,38611.0
"▪ Lương, thưởng của Ban Điều hành","Thành viên Hội đồng Quản trị, Ban Điều hành > ▪ Lương, thưởng của Ban Điều hành","▪ Lương, thưởng của Ban Điều hành",29.298,27.492,29298.0,27492.0
