row_label_raw,row_label_full,Loại tài sản bảo đảm,Tỷ lệ khấu trừ tối đa,numeric__Tỷ lệ khấu trừ tối đa
Tiền gửi của khách hàng bằng Đồng Việt Nam,Tiền gửi của khách hàng bằng Đồng Việt Nam,Tiền gửi của khách hàng bằng Đồng Việt Nam,100%,1.0
"Vàng miếng, không bao gồm vàng miếng không có giá niêm yết, tiền gửi của khách hàng bằng ngoại tệ","Vàng miếng, không bao gồm vàng miếng không có giá niêm yết, tiền gửi của khách hàng bằng ngoại tệ","Vàng miếng, không bao gồm vàng miếng không có giá niêm yết, tiền gửi của khách hàng bằng ngoại tệ",95%,0.95
"Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành:","Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành:","Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành:",,
▪ Có thời hạn còn lại dưới 1 năm,"Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > ▪ Có thời hạn còn lại dưới 1 năm",▪ Có thời hạn còn lại dưới 1 năm,95%,0.95
▪ Có thời hạn còn lại từ 1 năm đến 5 năm,"Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > ▪ Có thời hạn còn lại từ 1 năm đến 5 năm",▪ Có thời hạn còn lại từ 1 năm đến 5 năm,85%,0.85
▪ Có thời hạn còn lại trên 5 năm,"Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > ▪ Có thời hạn còn lại trên 5 năm",▪ Có thời hạn còn lại trên 5 năm,80%,0.8
Chứng khoán do các tổ chức tín dụng khác phát hành được niêm yết trên Sở giao dịch chứng khoán,"Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > Chứng khoán do các tổ chức tín dụng khác phát hành được niêm yết trên Sở giao dịch chứng khoán",Chứng khoán do các tổ chức tín dụng khác phát hành được niêm yết trên Sở giao dịch chứng khoán,70%,0.7
Chứng khoán do doanh nghiệp khác phát hành được niêm yết trên Sở giao dịch chứng khoán,"Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > Chứng khoán do doanh nghiệp khác phát hành được niêm yết trên Sở giao dịch chứng khoán",Chứng khoán do doanh nghiệp khác phát hành được niêm yết trên Sở giao dịch chứng khoán,65%,0.65
"Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá (trừ các chứng khoán và giấy tờ có giá được quy định tại Điểm c, Khoản 6, Điều 12, Thông tư 02), do tổ chức tín dụng có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá (trừ các chứng khoán và giấy tờ có giá được quy định tại Điểm c, Khoản 6, Điều 12, Thông tư 02), do tổ chức tín dụng có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá (trừ các chứng khoán và giấy tờ có giá được quy định tại Điểm c, Khoản 6, Điều 12, Thông tư 02), do tổ chức tín dụng có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành",50%,0.5
"Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá (trừ các chứng khoán và giấy tờ có giá được quy định tại Điểm c, Khoản 6, Điều 12, Thông tư 02), do tổ chức tín dụng không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá (trừ các chứng khoán và giấy tờ có giá được quy định tại Điểm c, Khoản 6, Điều 12, Thông tư 02), do tổ chức tín dụng không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá (trừ các chứng khoán và giấy tờ có giá được quy định tại Điểm c, Khoản 6, Điều 12, Thông tư 02), do tổ chức tín dụng không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành",30%,0.3
"Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành",30%,0.3
"Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành","Chứng khoán chưa được niêm yết trên Sở giao dịch chứng khoán, giấy tờ có giá do doanh nghiệp không có đăng ký niêm yết chứng khoán trên Sở giao dịch chứng khoán phát hành",10%,0.1
Bất động sản,"Trái phiếu chính phù, công cụ chuyển nhượng, giấy tờ có giá do Ngân hàng phát hành; thè tiết kiệm, chứng chi tiền gửi, kỳ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành: > Bất động sản",Bất động sản,50%,0.5
