row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,370.178,351.282,219.176,82.639,37.582,1.060.857,370178.0,351282.0,219176.0,82639.0,37582.0,1060857.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,42.401,26.976,14.400,10.872,2.879,97.528,42401.0,26976.0,14400.0,10872.0,2879.0,97528.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.174),(4.472),(5.649),(1.334),(649),(17.278),-5174.0,-4472.0,-5649.0,-1334.0,-649.0,-17278.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,45.159,(90.904),(14.318),99.845,(39.782),-,45159.0,-90904.0,-14318.0,99845.0,-39782.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,-,-,(10.929),-,(10.929),,,,-10929.0,,-10929.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,452.564,282.882,213.609,181.093,30,1.130.178,452564.0,282882.0,213609.0,181093.0,30.0,1130178.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,97.407,278.516,141.977,78.580,21.347,617.827,97407.0,278516.0,141977.0,78580.0,21347.0,617827.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,31.458,18.906,17.866,18.332,734,87.296,31458.0,18906.0,17866.0,18332.0,734.0,87296.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.174),(4.472),(5.649),(1.334),(649),(17.278),-5174.0,-4472.0,-5649.0,-1334.0,-649.0,-17278.0
Phân loại lại,Hao mòn lũy kế > Phân loại lại,Phân loại lại,31.486,(62.964),(9.152),62.061,(21.431),-,31486.0,-62964.0,-9152.0,62061.0,-21431.0,
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,-,-,(10.929),-,(10.929),,,,-10929.0,,-10929.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,155.177,229.986,145.042,146.710,1,676.916,155177.0,229986.0,145042.0,146710.0,1.0,676916.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,272.771,72.766,77.199,4.059,16.235,443.030,272771.0,72766.0,77199.0,4059.0,16235.0,443030.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,297.387,52.896,68.567,34.383,29,453.262,297387.0,52896.0,68567.0,34383.0,29.0,453262.0
