row_label_raw,row_label_full,Tại 31 tháng 12 năm 2020(Triệu VND),Quá hạn,Khônghuống lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghuống lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.554.080,-,-,-,-,-,-,1.554.080,,1554080.0,,,,,,,1554080.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,13.997.150,-,-,-,-,-,13.997.150,,,13997150.0,,,,,,13997150.0
Tiền gửi và cho vaycác TCTD khác - gộp,Tài sản > Tiền gửi và cho vaycác TCTD khác - gộp,Tiền gửi và cho vaycác TCTD khác - gộp,-,-,32.145.937,4.763.290,-,-,676,-,36.909.903,,,32145937.0,4763290.0,,,676.0,,36909903.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,134.441,-,-,-,-,-,-,134.441,,134441.0,,,,,,,134441.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,11.030.590,-,84.307.440,164.705.243,6.502.193,4.627.554,18.813.109,2.782.226,292.768.355,11030590.0,,84307440.0,164705243.0,6502193.0,4627554.0,18813109.0,2782226.0,292768355.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,817.000,4.308.363,1.608.288,1.792.779,7.179.285,2.207.499,2.147.478,9.457.907,29.518.599,817000.0,4308363.0,1608288.0,1792779.0,7179285.0,2207499.0,2147478.0,9457907.0,29518599.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,4.034.152,-,-,-,-,-,-,4.034.152,,4034152.0,,,,,,,4034152.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.811.078,-,-,-,-,-,-,4.811.078,,4811078.0,,,,,,,4811078.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,187.500,13.237.300,2.279.092,5.750.106,5.181.919,1.666.207,-,-,28.302.124,187500.0,13237300.0,2279092.0,5750106.0,5181919.0,1666207.0,,,28302124.0
,,,12.035.090,28.079.414,134.337.907,177.011.418,18.863.397,8.501.260,20.961.263,12.240.133,412.029.882,12035090.0,28079414.0,134337907.0,177011418.0,18863397.0,8501260.0,20961263.0,12240133.0,412029882.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,-,-,609.712,-,-,-,-,-,609.712,,,609712.0,,,,,,609712.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,22.869.179,8.827.266,5.306.247,1.866.168,2.110,2.379,38.873.349,,,22869179.0,8827266.0,5306247.0,1866168.0,2110.0,2379.0,38873349.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,76.746.910,56.297.994,76.322.078,47.779.893,44.178.779,1.672,301.327.326,,,76746910.0,56297994.0,76322078.0,47779893.0,44178779.0,1672.0,301327326.0
"Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, chovay mà TCTD chịu rủi ro",-,-,462.401,1.160.297,87.870,358.237,1.443.300,862,3.512.967,,,462401.0,1160297.0,87870.0,358237.0,1443300.0,862.0,3512967.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,2.591.758,5.636.844,7.529.933,6.139.864,6.197.660,1.000.000,29.096.059,,,2591758.0,5636844.0,7529933.0,6139864.0,6197660.0,1000000.0,29096059.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,10.534.431,-,-,-,-,-,-,10.534.431,,10534431.0,,,,,,,10534431.0
,,,-,10.534.431,103.279.960,71.922.401,89.246.128,56.144.162,51.821.849,1.004.913,383.953.844,,10534431.0,103279960.0,71922401.0,89246128.0,56144162.0,51821849.0,1004913.0,383953844.0
Mức chênh nhạy cảmvới lãi suất,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất,Mức chênh nhạy cảmvới lãi suất,12.035.090,17.544.983,31.057.947,105.089.017,(70.382.731),(47.642.902),(30.860.586),11.235.220,28.076.038,12035090.0,17544983.0,31057947.0,105089017.0,-70382731.0,-47642902.0,-30860586.0,11235220.0,28076038.0
