row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020(Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngày,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngày,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngày,Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngày,Quá hạn và đã được TLDP,Tổng cộng,numeric__Chưa quá hạn và chưa phải TLDP,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngày,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngày,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngày,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngày,numeric__Quá hạn và đã được TLDP,numeric__Tổng cộng
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,13.997.150,-,-,-,-,-,13.997.150,13997150.0,,,,,,13997150.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,36.909.903,-,-,-,-,-,36.909.903,36909903.0,,,,,,36909903.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,134.441,-,-,-,-,-,134.441,134441.0,,,,,,134441.0
Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,279.213.467,3.083.233,60.266,179.591,436.894,6.461.955,289.435.406,279213467.0,3083233.0,60266.0,179591.0,436894.0,6461955.0,289435406.0
Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,27.982.071,-,-,-,-,629.066,28.611.137,27982071.0,,,,,629066.0,28611137.0
Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,27.965.746,-,-,-,-,-,27.965.746,27965746.0,,,,,,27965746.0
,,,386.202.778,3.083.233,60.266,179.591,436.894,7.091.021,397.053.783,386202778.0,3083233.0,60266.0,179591.0,436894.0,7091021.0,397053783.0
Tại ngày 31 tháng 12 năm 2019(Triệu VND),Tại ngày 31 tháng 12 năm 2019(Triệu VND),Tại ngày 31 tháng 12 năm 2019(Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm 2019(Triệu VND),Tại ngày 31 tháng 12 năm 2019(Triệu VND),Tại ngày 31 tháng 12 năm 2019(Triệu VND),Chưa quá hạn và chưa phải TLDP,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Quá hạn và đã được TLDP,Tổng cộng,,,,,,,
Tiền gửi tại NHNNVN,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,9.194.229,-,-,-,-,-,9.194.229,9194229.0,,,,,,9194229.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,39.037.922,-,-,-,-,-,39.037.922,39037922.0,,,,,,39037922.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,172.946,-,-,-,-,-,172.946,172946.0,,,,,,172946.0
Cho vay khách hàng - thuần,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,241.281.113,3.400.046,633.197,77.604,944.096,4.503.365,250.839.421,241281113.0,3400046.0,633197.0,77604.0,944096.0,4503365.0,250839421.0
Chứng khoán đầu tư - thuần,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,21.374.790,-,-,-,-,201.066,21.575.856,21374790.0,,,,,201066.0,21575856.0
Tài sản tài chính khác - thuần,Tại ngày 31 tháng 12 năm 2019(Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,29.132.121,-,-,-,-,714.295,29.846.416,29132121.0,,,,,714295.0,29846416.0
,,,340.193.121,3.400.046,633.197,77.604,944.096,5.418.726,350.666.790,340193121.0,3400046.0,633197.0,77604.0,944096.0,5418726.0,350666790.0
