row_label_raw,row_label_full,col_0,31/12/2020Triệu VND,%,31/12/2019Triệu VND,%_1,numeric__31/12/2020Triệu VND,numeric__%,numeric__31/12/2019Triệu VND,numeric__%_1
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,,,,
Công ty Nhà nước,Cho vay các tổ chức kinh tế > Công ty Nhà nước,Công ty Nhà nước,5.866.302,"2,00",15.841.977,"6,24",5866302.0,2.0,15841977.0,6.24
Công ty TNHH,Cho vay các tổ chức kinh tế > Công ty TNHH,Công ty TNHH,80.359.432,"27,45",46.363.500,"18,26",80359432.0,27.45,46363500.0,18.26
Công ty cổ phần có hơn 50% vốn Nhà nước (Nhà nước chiếm cổ phần chi phối),Cho vay các tổ chức kinh tế > Công ty cổ phần có hơn 50% vốn Nhà nước (Nhà nước chiếm cổ phần chi phối),Công ty cổ phần có hơn 50% vốn Nhà nước (Nhà nước chiếm cổ phần chi phối),9.162.590,"3,13",11.010.448,"4,34",9162590.0,3.13,11010448.0,4.34
Công ty cổ phần khác,Cho vay các tổ chức kinh tế > Công ty cổ phần khác,Công ty cổ phần khác,135.715.342,"46,36",118.853.891,"46,81",135715342.0,46.36,118853891.0,46.81
Công ty hợp danh,Cho vay các tổ chức kinh tế > Công ty hợp danh,Công ty hợp danh,24.054,"0,01",1.578,"0,00",24054.0,0.01,1578.0,0.0
Doanh nghiệp tư nhân,Cho vay các tổ chức kinh tế > Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,3.223.725,"1,10",2.475.208,"0,97",3223725.0,1.1,2475208.0,0.97
Doanh nghiệp có vốn đầu tư nước ngoài,Cho vay các tổ chức kinh tế > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,98.390,"0,03",98.030,"0,04",98390.0,0.03,98030.0,0.04
Hợp tác xã và liên hiệp hợp tác xã,Cho vay các tổ chức kinh tế > Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,17.373,"0,01",24.103,"0,01",17373.0,0.01,24103.0,0.01
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,,,,
"Hộ kinh doanh, cá nhân","Cho vay cá nhân > Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",58.200.897,"19,88",58.683.073,"23,12",58200897.0,19.88,58683073.0,23.12
Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,,,,
Thành phần kinh tế khác,Cho vay khác > Thành phần kinh tế khác,Thành phần kinh tế khác,100.250,"0,03",543.000,"0,21",100250.0,0.03,543000.0,0.21
,,,292.768.355,"100,00",253.894.808,"100,00",292768355.0,100.0,253894808.0,100.0
