row_label_raw,row_label_full,col_0,Dự phòng rủi ro trái phiếu VAMC,Dự phòng rủi ro trái phiếu giữ đến ngày đáo hạn khác khác,Tổng,numeric__Dự phòng rủi ro trái phiếu VAMC,numeric__Dự phòng rủi ro trái phiếu giữ đến ngày đáo hạn khác khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,499.209,23.074,522.283,499209.0,23074.0,522283.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,257.877,12.000,269.877,257877.0,12000.0,269877.0
Phân loại lại sang dự phòng rủi ro chứng khoán sẵn sàng để bán,Phân loại lại sang dự phòng rủi ro chứng khoán sẵn sàng để bán,Phân loại lại sang dự phòng rủi ro chứng khoán sẵn sàng để bán,-,(31.125),(31.125),,-31125.0,-31125.0
,,,757.086,3.949,761.035,757086.0,3949.0,761035.0
