row_label_raw,row_label_full,Số cuối năm,Từ 1 nămtrở xuống > Số cuối năm,Trên 1 năm đến5 năm > Số cuối năm,Trên 5năm > Số cuối năm,Cộng > Số cuối năm,numeric__Từ 1 nămtrở xuống > Số cuối năm,numeric__Trên 1 năm đến5 năm > Số cuối năm,numeric__Trên 5năm > Số cuối năm,numeric__Cộng > Số cuối năm
Vay và nợ,Vay và nợ,Vay và nợ,10.210.640.000,64.318.000.959,-,74.528.640.959,10210640000.0,64318000959.0,,74528640959.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,4.529.370.317.713,-,-,4.529.370.317.713,4529370317713.0,,,4529370317713.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,15.723.641.948,-,-,15.723.641.948,15723641948.0,,,15723641948.0
Cộng,Cộng,Cộng,4.555.304.599.661,64.318.000.959,-,4.619.622.600.620,4555304599661.0,64318000959.0,,4619622600620.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Vay và nợ,Số đầu năm > Vay và nợ,Vay và nợ,1.844.322.869.189,59.850.000.000,-,1.904.172.869.189,1844322869189.0,59850000000.0,,1904172869189.0
Phải trả người bán,Số đầu năm > Phải trả người bán,Phải trả người bán,4.104.526.041.161,191.596.183.155,-,4.296.122.224.316,4104526041161.0,191596183155.0,,4296122224316.0
Các khoản phải trả khác,Số đầu năm > Các khoản phải trả khác,Các khoản phải trả khác,5.267.928.278,-,-,5.267.928.278,5267928278.0,,,5267928278.0
Cộng,Số đầu năm > Cộng,Cộng,5.954.116.838.628,251.446.183.155,-,6.205.563.021.783,5954116838628.0,251446183155.0,,6205563021783.0
