row_label_raw,row_label_full,col_0,Số đầu năm,Tăng do Hợp nhất,Chi phí phát sinh trong năm,Kết chuyển vào TSCĐ trong năm,Kết chuyển chi phí trả trước dài hạn,Giảm khác,Số cuối năm,numeric__Số đầu năm,numeric__Tăng do Hợp nhất,numeric__Chi phí phát sinh trong năm,numeric__Kết chuyển vào TSCĐ trong năm,numeric__Kết chuyển chi phí trả trước dài hạn,numeric__Giảm khác,numeric__Số cuối năm
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,111.473.100.000,-,189.851.368.427,(54.235.606.383),(39.073.474.246),(111.473.100.000),96.542.287.798,111473100000.0,,189851368427.0,-54235606383.0,-39073474246.0,-111473100000.0,96542287798.0
Heo nái,Heo nái,Heo nái,-,-,99.782.442.427,(54.166.680.383),(39.073.474.246),-,6.542.287.798,,,99782442427.0,-54166680383.0,-39073474246.0,,6542287798.0
Phần mềm quản lý Heo,Phần mềm quản lý Heo,Phần mềm quản lý Heo,-,-,68.926.000,(68.926.000),,-,-,,,68926000.0,-68926000.0,,,
"Khu đất tại Vân Đồng, Quảng Ninh","Khu đất tại Vân Đồng, Quảng Ninh","Khu đất tại Vân Đồng, Quảng Ninh",111.473.100.000,,-,-,-,(111.473.100.000),-,111473100000.0,,,,,-111473100000.0,
"Khu đất 136 B Mai Chí Thọ, Khu phố 3, Phường An Phú, Quận 2 thành phố Hồ Chí Minh","Khu đất 136 B Mai Chí Thọ, Khu phố 3, Phường An Phú, Quận 2 thành phố Hồ Chí Minh","Khu đất 136 B Mai Chí Thọ, Khu phố 3, Phường An Phú, Quận 2 thành phố Hồ Chí Minh",-,-,90.000.000.000,-,-,-,90.000.000.000,,,90000000000.0,,,,90000000000.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,-,5.333.336.363,20.994.667.435,(5.997.509.091),-,-,20.330.494.707,,5333336363.0,20994667435.0,-5997509091.0,,,20330494707.0
Hệ thống Silo và đường tài cám,Hệ thống Silo và đường tài cám,Hệ thống Silo và đường tài cám,-,-,5.698.963.760,-,-,-,5.698.963.760,,,5698963760.0,,,,5698963760.0
Hệ thống Silo và đường tài cám Trại BP1,Hệ thống Silo và đường tài cám Trại BP1,Hệ thống Silo và đường tài cám Trại BP1,-,-,2.134.178.000,-,-,-,2.134.178.000,,,2134178000.0,,,,2134178000.0
Hệ thống Silo và đường tài cám Trại BP2,Hệ thống Silo và đường tài cám Trại BP2,Hệ thống Silo và đường tài cám Trại BP2,-,-,827.085.400,-,-,-,827.085.400,,,827085400.0,,,,827085400.0
Hệ thống Silo và đường tài cám Trại VT,Hệ thống Silo và đường tài cám Trại VT,Hệ thống Silo và đường tài cám Trại VT,-,-,1.571.998.360,-,-,-,1.571.998.360,,,1571998360.0,,,,1571998360.0
Hệ thống Silo và đường tài cám Trại BT,Hệ thống Silo và đường tài cám Trại BT,Hệ thống Silo và đường tài cám Trại BT,-,-,1.165.702.000,-,-,-,1.165.702.000,,,1165702000.0,,,,1165702000.0
Hệ thống trộn Premix và khung thép kho bao,Hệ thống trộn Premix và khung thép kho bao,Hệ thống trộn Premix và khung thép kho bao,-,-,990.000.000,-,-,-,990.000.000,,,990000000.0,,,,990000000.0
Công trình An toàn sinh học,Công trình An toàn sinh học,Công trình An toàn sinh học,-,-,3.660.499.841,(3.657.600.000),-,-,2.899.841,,,3660499841.0,-3657600000.0,,,2899841.0
Công trình An toàn sinh học trại BP1,Công trình An toàn sinh học trại BP1,Công trình An toàn sinh học trại BP1,-,-,853.500.000,(853.500.000),-,-,-,,,853500000.0,-853500000.0,,,
Công trình An toàn sinh học trại BP2,Công trình An toàn sinh học trại BP2,Công trình An toàn sinh học trại BP2,-,-,1.583.999.841,(1.581.100.000),-,-,2.899.841,,,1583999841.0,-1581100000.0,,,2899841.0
