row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,12.845.638.170.061,17.288.066.682.842,,1.0,,12845638170061.0,17288066682842.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,VI.2,32.092.635,2.727.304,,2.0,,32092635.0,2727304.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,12.845.606.077.426,17.288.063.955.538,,10.0,,12845606077426.0,17288063955538.0
4.,4.,4.,Giá vốn hàng bán,11,VI.3,12.650.419.341.158,17.092.369.759.761,,11.0,,12650419341158.0,17092369759761.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,195.186.736.268,195.694.195.777,,20.0,,195186736268.0,195694195777.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.4,4.078.219.283,6.607.067.006,,21.0,,4078219283.0,6607067006.0
7.,7.,7.,Chi phí tài chính,22,VI.5,119.150.779.549,180.134.517.498,,22.0,,119150779549.0,180134517498.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,114.976.065.796,174.158.583.403,,23.0,,114976065796.0,174158583403.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-,,24.0,,,
9.,9.,9.,Chi phí bán hàng,25,VI.6,1.662.852.857,1.274.944.944,,25.0,,1662852857.0,1274944944.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,VI.7,14.840.343.136,7.512.319.491,,26.0,,14840343136.0,7512319491.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,63.610.980.009,13.379.480.850,,30.0,,63610980009.0,13379480850.0
12.,12.,12.,Thu nhập khác,31,VI.8,1.015.767.945,4.712.202.149,,31.0,,1015767945.0,4712202149.0
13.,13.,13.,Chi phí khác,32,VI.9,6.684.971.935,1.891.427.076,,32.0,,6684971935.0,1891427076.0
14.,14.,14.,Lợi nhuận khác,40,,(5.669.203.990),2.820.775.073,,40.0,,-5669203990.0,2820775073.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,57.941.776.019,16.200.255.923,,50.0,,57941776019.0,16200255923.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.10,12.114.977.813,3.240.051.184,,51.0,,12114977813.0,3240051184.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,45.826.798.206,12.960.204.739,,60.0,,45826798206.0,12960204739.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,45.826.798.206,12.960.204.739,,61.0,,45826798206.0,12960204739.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,-,-,,62.0,,,
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,VI.11,2.251,1.296,,70.0,,2251.0,1296.0
