row_label_raw,row_label_full,col_0,Số đầu năm,Tăng do Hợp nhất,Số tiền vay phát sinh trong năm,Số tiền vay đã trả trong năm,Kết chuyển sang vay và nợ ngắn hạn,Số cuối năm,numeric__Số đầu năm,numeric__Tăng do Hợp nhất,numeric__Số tiền vay phát sinh trong năm,numeric__Số tiền vay đã trả trong năm,numeric__Kết chuyển sang vay và nợ ngắn hạn,numeric__Số cuối năm
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,-,73.028.640.959,1.500.000.000,-,(10.210.640.000),64.318.000.959,,73028640959.0,1500000000.0,,-10210640000.0,64318000959.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Tiền Giang (1),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Tiền Giang (1),Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Chi nhánh Tiền Giang (1),-,29.619.220.959,-,-,(2.324.000.000),27.295.220.959,,29619220959.0,,,-2324000000.0,27295220959.0
Ngân hàng TMCP Á Châu (2),Ngân hàng TMCP Á Châu (2),Ngân hàng TMCP Á Châu (2),-,43.409.420.000,1.500.000.000,-,(7.886.640.000),37.022.780.000,,43409420000.0,1500000000.0,,-7886640000.0,37022780000.0
Vay dài hạn các cá nhân,Vay dài hạn các cá nhân,Vay dài hạn các cá nhân,59.850.000.000,-,-,(59.850.000.000),-,-,59850000000.0,,,-59850000000.0,,
Ông Nguyễn Nghĩa (3),Ông Nguyễn Nghĩa (3),Ông Nguyễn Nghĩa (3),59.850.000.000,-,-,(59.850.000.000),-,-,59850000000.0,,,-59850000000.0,,
Cộng,Cộng,Cộng,59.850.000.000,73.028.640.959,1.500.000.000,(59.850.000.000),(10.210.640.000),64.318.000.959,59850000000.0,73028640959.0,1500000000.0,-59850000000.0,-10210640000.0,64318000959.0
