row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Máy móc và thiết bị,"Phương tiện vận tải, truyền dẫn","Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc và thiết bị,"numeric__Phương tiện vận tải, truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,18.822.761.072,23.821.476.888,9.814.877.000,497.621.900,-,52.956.736.860,18822761072.0,23821476888.0,9814877000.0,497621900.0,,52956736860.0
Tăng TSCĐ từ Xây dựng cơ bản,Nguyên giá > Tăng TSCĐ từ Xây dựng cơ bản,Tăng TSCĐ từ Xây dựng cơ bản,2.339.909.091,3.657.600.000,-,-,-,5.997.509.091,2339909091.0,3657600000.0,,,,5997509091.0
Mua sắm mới trong năm,Nguyên giá > Mua sắm mới trong năm,Mua sắm mới trong năm,1.119.329.828,14.038.669.498,4.027.566.634,1.042.208.547,-,20.227.774.507,1119329828.0,14038669498.0,4027566634.0,1042208547.0,,20227774507.0
Tăng trong năm do chuyển Heo thành TSCĐ từ Xây dựng cơ bản,Nguyên giá > Tăng trong năm do chuyển Heo thành TSCĐ từ Xây dựng cơ bản,Tăng trong năm do chuyển Heo thành TSCĐ từ Xây dựng cơ bản,-,-,-,-,54.166.680.383,54.166.680.383,,,,,54166680383.0,54166680383.0
Tăng trong năm do chuyển Heo thành TSCĐ từ Chi phí trả trước,Nguyên giá > Tăng trong năm do chuyển Heo thành TSCĐ từ Chi phí trả trước,Tăng trong năm do chuyển Heo thành TSCĐ từ Chi phí trả trước,-,-,-,-,904.231.089,904.231.089,,,,,904231089.0,904231089.0
Giảm do thanh lý,Nguyên giá > Giảm do thanh lý,Giảm do thanh lý,-,(3.147.329.196),(1.101.800.000),-,-,(4.249.129.196),,-3147329196.0,-1101800000.0,,,-4249129196.0
Giảm do heo chết,Nguyên giá > Giảm do heo chết,Giảm do heo chết,-,-,-,-,(6.588.259.704),(6.588.259.704),,,,,-6588259704.0,-6588259704.0
Tăng trong năm do Hợp nhất,Nguyên giá > Tăng trong năm do Hợp nhất,Tăng trong năm do Hợp nhất,122.138.634.921,5.882.621.777,1.419.981.818,445.796.300,2.462.177.140,132.349.211.956,122138634921.0,5882621777.0,1419981818.0,445796300.0,2462177140.0,132349211956.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,144.420.634.912,44.253.038.967,14.160.625.452,1.985.626.747,50.944.828.908,255.764.754.986,144420634912.0,44253038967.0,14160625452.0,1985626747.0,50944828908.0,255764754986.0
Tài sản hết khấu hao nhưng vấn đang sử dụng,Tài sản hết khấu hao nhưng vấn đang sử dụng,Tài sản hết khấu hao nhưng vấn đang sử dụng,-,-,-,-,-,-,,,,,,
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,2.497.602.382,3.818.974.511,1.922.816.673,83.723.787,-,8.323.117.353,2497602382.0,3818974511.0,1922816673.0,83723787.0,,8323117353.0
Khẩu hao trong năm,Giá trị hao mòn > Khẩu hao trong năm,Khẩu hao trong năm,5.261.330.336,3.912.809.926,1.866.543.550,254.430.870,5.790.611.219,17.085.725.901,5261330336.0,3912809926.0,1866543550.0,254430870.0,5790611219.0,17085725901.0
Giảm do thanh lý chuồng trại,Giá trị hao mòn > Giảm do thanh lý chuồng trại,Giảm do thanh lý chuồng trại,-,(772.232.432),-,-,-,(772.232.432),,-772232432.0,,,,-772232432.0
Giảm do heo chết,Giá trị hao mòn > Giảm do heo chết,Giảm do heo chết,-,-,-,-,(631.193.962),(631.193.962),,,,,-631193962.0,-631193962.0
"Thanh lý, nhượng bán","Giá trị hao mòn > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(577.133.348),-,-,(577.133.348),,,-577133348.0,,,-577133348.0
Tăng trong năm do Hợp nhất,Giá trị hao mòn > Tăng trong năm do Hợp nhất,Tăng trong năm do Hợp nhất,16.759.117.268,1.281.701.510,728.648.508,106.798.012,30.777.213,18.907.042.511,16759117268.0,1281701510.0,728648508.0,106798012.0,30777213.0,18907042511.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,24.518.049.986,8.241.253.515,3.940.875.383,444.952.669,5.190.194.470,42.335.326.023,24518049986.0,8241253515.0,3940875383.0,444952669.0,5190194470.0,42335326023.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,16.325.158.690,20.002.502.377,7.892.060.327,413.898.113,-,44.633.619.507,16325158690.0,20002502377.0,7892060327.0,413898113.0,,44633619507.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,119.902.584.926,36.011.785.452,10.219.750.069,1.540.674.078,45.754.634.438,213.429.428.963,119902584926.0,36011785452.0,10219750069.0,1540674078.0,45754634438.0,213429428963.0
