row_label_raw,row_label_full,col_0,Giá trị số sách > Số cuối năm,Giá trị số sách > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị số sách > Số cuối năm,numeric__Giá trị số sách > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,68.075.924.740,29.482.879.719,68.075.924.740,29.482.879.719,68075924740.0,29482879719.0,68075924740.0,29482879719.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Các khoản đầu tư nắm giữ đến ngày đáo hạn,Các khoản đầu tư nắm giữ đến ngày đáo hạn,17.000.000.000,11.130.000.000,17.000.000.000,11.130.000.000,17000000000.0,11130000000.0,17000000000.0,11130000000.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,3.518.691.350.382,5.071.731.428.383,3.518.691.350.382,5.071.731.428.383,3518691350382.0,5071731428383.0,3518691350382.0,5071731428383.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,25.655.967.223,17.000.000.000,25.655.967.223,17.000.000.000,25655967223.0,17000000000.0,25655967223.0,17000000000.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,117.067.233.628,71.107.767.853,117.067.233.628,71.107.767.853,117067233628.0,71107767853.0,117067233628.0,71107767853.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính > Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,34.624.187.416,14.983.824.894,34.624.187.416,14.983.824.894,34624187416.0,14983824894.0,34624187416.0,14983824894.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.781.114.663.389,5.215.435.900.849,3.781.114.663.389,5.215.435.900.849,3781114663389.0,5215435900849.0,3781114663389.0,5215435900849.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,74.528.640.959,1.904.172.869.189,74.528.640.959,1.904.172.869.189,74528640959.0,1904172869189.0,74528640959.0,1904172869189.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,4.529.370.317.713,4.296.122.224.316,4.529.370.317.713,4.296.122.224.316,4529370317713.0,4296122224316.0,4529370317713.0,4296122224316.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,15.723.641.948,5.267.928.278,15.723.641.948,5.267.928.278,15723641948.0,5267928278.0,15723641948.0,5267928278.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,4.619.622.600.620,6.205.563.021.783,4.619.622.600.620,6.205.563.021.783,4619622600620.0,6205563021783.0,4619622600620.0,6205563021783.0
