row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Phát sinh trong năm,Phát sinh trong năm_1,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải nộp,Phải thu,Số phải nộp,Số đã nộp,Phải nộp,Phải thu,,,,,,
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,2.720.580,-,7.957.842,(64.433.607),-,53.755.185,2720580.0,,7957842.0,-64433607.0,,53755185.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",8.890.737.872,-,2.241.315.374,(11.132.053.246),-,-,8890737872.0,,2241315374.0,-11132053246.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.240.051.184,-,12.114.977.813,(3.722.333.471),11.632.695.526,-,3240051184.0,,12114977813.0,-3722333471.0,11632695526.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,-,88.002.053,(88.002.053),-,-,,,88002053.0,-88002053.0,,
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,-,500.000.000,(500.000.000),-,-,,,500000000.0,-500000000.0,,
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,-,-,34.733.715,(34.733.715),-,-,,,34733715.0,-34733715.0,,
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,83.501.150,(83.501.150),-,-,,,83501150.0,-83501150.0,,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,-,20.709.458,(20.709.458),-,-,,,20709458.0,-20709458.0,,
Cộng,Cộng,Cộng,12.133.509.636,-,15.091.197.405,(15.645.766.700),11.632.695.526,53.755.185,12133509636.0,,15091197405.0,-15645766700.0,11632695526.0,53755185.0
