row_label_raw,row_label_full,col_0,"Nhân hiệu, tên thương mại",Chương trình phần mềm,Cộng,"numeric__Nhân hiệu, tên thương mại",numeric__Chương trình phần mềm,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,33.000.000,589.750.000,622.750.000,33000000.0,589750000.0,622750000.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,68.926.000,68.926.000,,68926000.0,68926000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,33.000.000,658.676.000,691.676.000,33000000.0,658676000.0,691676000.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,16.683.339,185.221.541,201.904.880,16683339.0,185221541.0,201904880.0
Khẩu hao trong năm,Giá trị hao mòn > Khẩu hao trong năm,Khẩu hao trong năm,11.000.004,139.916.676,150.916.680,11000004.0,139916676.0,150916680.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,27.683.343,325.138.217,352.821.560,27683343.0,325138217.0,352821560.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,16.316.661,404.528.459,420.845.120,16316661.0,404528459.0,420845120.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,5.316.657,333.537.783,338.854.440,5316657.0,333537783.0,338854440.0
