row_label_raw,row_label_full,Loại tài sản cố định,Số năm,numeric__Số năm
Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,Nhà cửa vật kiến trúc,03 – 10,
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,03 – 10,
"Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",05 – 08,
Thiết bị dụng cụ quản lý,"Phương tiện vận tải, truyền dẫn > Thiết bị dụng cụ quản lý",Thiết bị dụng cụ quản lý,05,5.0
Tải sản cố định khác (Heo),"Phương tiện vận tải, truyền dẫn > Tải sản cố định khác (Heo)",Tải sản cố định khác (Heo),04,4.0
