row_label_raw,row_label_full,Tăng vốn trong năm,Năm nay > Tăng vốn trong năm,Năm trước > Tăng vốn trong năm,numeric__Năm nay > Tăng vốn trong năm,numeric__Năm trước > Tăng vốn trong năm
Bà Bùi Hương Giang,Bà Bùi Hương Giang,Bà Bùi Hương Giang,320.000.000.000,-,320000000000.0,
Bà Vũ Thị Thủy Dung,Bà Vũ Thị Thủy Dung,Bà Vũ Thị Thủy Dung,40.000.000.000,-,40000000000.0,
Ống Nguyễn Anh Tuân,Ống Nguyễn Anh Tuân,Ống Nguyễn Anh Tuân,40.000.000.000,-,40000000000.0,
Tạm ứng thành viên Ban lãnh đạo,Tạm ứng thành viên Ban lãnh đạo,Tạm ứng thành viên Ban lãnh đạo,Tạm ứng thành viên Ban lãnh đạo,Tạm ứng thành viên Ban lãnh đạo,,
Ống Nguyễn Đức Thắng- Giám đốc Dự án,Tạm ứng thành viên Ban lãnh đạo > Ống Nguyễn Đức Thắng- Giám đốc Dự án,Ống Nguyễn Đức Thắng- Giám đốc Dự án,19.255.131.513,-,19255131513.0,
