row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi sổ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi sổ
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,17.000.000.000,17.000.000.000,11.130.000.000,11.130.000.000,17000000000.0,17000000000.0,11130000000.0,11130000000.0
Ngân hàng TMCP SHB - CN Trung Hòa Nhân Chính (*),Ngân hàng TMCP SHB - CN Trung Hòa Nhân Chính (*),Ngân hàng TMCP SHB - CN Trung Hòa Nhân Chính (*),4.000.000.000,4.000.000.000,-,-,4000000000.0,4000000000.0,,
Ngân hàng TMCP Tiên Phong - Chi nhánh Hồ Chí Minh (**),Ngân hàng TMCP Tiên Phong - Chi nhánh Hồ Chí Minh (**),Ngân hàng TMCP Tiên Phong - Chi nhánh Hồ Chí Minh (**),10.000.000.000,10.000.000.000,-,-,10000000000.0,10000000000.0,,
Ngân hàng TMCP SHB-PGD Bình Thạnh (***),Ngân hàng TMCP SHB-PGD Bình Thạnh (***),Ngân hàng TMCP SHB-PGD Bình Thạnh (***),3.000.000.000,3.000.000.000,-,-,3000000000.0,3000000000.0,,
Ngân hàng TMCP Đầu tư và Phát triển,Ngân hàng TMCP Đầu tư và Phát triển,Ngân hàng TMCP Đầu tư và Phát triển,-,-,1.800.000.000,1.800.000.000,,,1800000000.0,1800000000.0
Ngân hàng SHB - CN Hàng Trống,Ngân hàng SHB - CN Hàng Trống,Ngân hàng SHB - CN Hàng Trống,-,-,9.330.000.000,9.330.000.000,,,9330000000.0,9330000000.0
Cộng,Cộng,Cộng,17.000.000.000,17.000.000.000,11.130.000.000,11.130.000.000,17000000000.0,17000000000.0,11130000000.0,11130000000.0
