row_label_raw,row_label_full,Thu nhập của các thành viên quản lý chủ chốt,Thu nhập của các thành viên quản lý chủ chốt_1,Năm 2024VND,Năm 2023VND,numeric__Thu nhập của các thành viên quản lý chủ chốt_1,numeric__Năm 2024VND,numeric__Năm 2023VND
Hội đồng quản trị và ban Tổng giám đốc,Hội đồng quản trị và ban Tổng giám đốc,Hội đồng quản trị và ban Tổng giám đốc,Hội đồng quản trị và ban Tổng giám đốc,4.713.278.405,5.631.624.607,,4713278405.0,5631624607.0
Ông Trần Văn Tuấn,Ông Trần Văn Tuấn,Ông Trần Văn Tuấn,Chủ tịch,1.466.367.419,1.143.037.979,,1466367419.0,1143037979.0
Ông Hồ Văn Dũng(Miễn nhiệm ngày 09/06/2023),Ông Hồ Văn Dũng(Miễn nhiệm ngày 09/06/2023),Ông Hồ Văn Dũng(Miễn nhiệm ngày 09/06/2023),Chủ tịch,-,1.114.217.268,,,1114217268.0
Ông Nguyễn Văn Tùng(Miễn nhiệm ngày 09/06/2023),Ông Nguyễn Văn Tùng(Miễn nhiệm ngày 09/06/2023),Ông Nguyễn Văn Tùng(Miễn nhiệm ngày 09/06/2023),Thành viên,-,747.234.881,,,747234881.0
Ông Đăng Quốc Bảo,Ông Đăng Quốc Bảo,Ông Đăng Quốc Bảo,Thành viên,851.533.033,882.099.304,,851533033.0,882099304.0
Ông Lê Văn Tuấn(Bồ nhiệm ngày 24/05/2024),Ông Lê Văn Tuấn(Bồ nhiệm ngày 24/05/2024),Ông Lê Văn Tuấn(Bồ nhiệm ngày 24/05/2024),Thành viên,81.066.668,-,,81066668.0,
Ông Trần Anh Đức(Bồ nhiệm ngày 19/06/2023),Ông Trần Anh Đức(Bồ nhiệm ngày 19/06/2023),Ông Trần Anh Đức(Bồ nhiệm ngày 19/06/2023),Tổng Giám đốc,876.458.232,301.618.182,,876458232.0,301618182.0
Ông Phạm Đức Thành,Ông Phạm Đức Thành,Ông Phạm Đức Thành,Phó Tổng Giám đốc,509.380.836,720.228.627,,509380836.0,720228627.0
Ông Nguyễn Văn Sơn(Từ nhiệm ngày 19/04/2024),Ông Nguyễn Văn Sơn(Từ nhiệm ngày 19/04/2024),Ông Nguyễn Văn Sơn(Từ nhiệm ngày 19/04/2024),Phó Tổng Giám đốc,576.166.424,723.188.366,,576166424.0,723188366.0
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,851.533.033,1.606.064.408,,851533033.0,1606064408.0
Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Trưởng ban,851.533.033,1.083.806.681,,851533033.0,1083806681.0
Ông Hà Tuấn Linh,Ông Hà Tuấn Linh,Ông Hà Tuấn Linh,Thành viên,-,522.257.727,,,522257727.0
Cộng,Cộng,Cộng,Cộng,5.564.811.438,7.237.689.015,,5564811438.0,7237689015.0
