row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất),THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > 01/01/2024VND,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > Số phải nộptrong nămVND,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > Số đã thực nộp/khẩu trừ trong nămVND,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > 31/12/2024VND,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > 01/01/2024VND,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > Số phải nộptrong nămVND,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > Số đã thực nộp/khẩu trừ trong nămVND,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > 31/12/2024VND
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,
- Thuế giá trị gia tăng hàng bán nội địa,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng hàng bán nội địa,- Thuế giá trị gia tăng hàng bán nội địa,101.785.940.584,158.038.962.801,178.839.522.860,80.985.380.525,101785940584.0,158038962801.0,178839522860.0,80985380525.0
- Thuế giá trị gia tăng hàng nhập khẩu,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng hàng nhập khẩu,- Thuế giá trị gia tăng hàng nhập khẩu,-,694.713.478,694.713.478,-,,694713478.0,694713478.0,
"- Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > - Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,27.446.908,27.446.908,-,,27446908.0,27446908.0,
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,85.218.350.611,128.790.382.013,129.996.354.591,84.012.378.033,85218350611.0,128790382013.0,129996354591.0,84012378033.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,13.242.924.859,17.908.170.338,20.112.457.728,11.038.637.469,13242924859.0,17908170338.0,20112457728.0,11038637469.0
- Thuế tài nguyên,Thuế và các khoản phải nộp > - Thuế tài nguyên,- Thuế tài nguyên,17.451.895.481,208.770.166.142,213.285.975.574,12.936.086.049,17451895481.0,208770166142.0,213285975574.0,12936086049.0
"- Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải nộp > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",1.227.589.704,8.504.044.254,8.907.957.418,823.676.540,1227589704.0,8504044254.0,8907957418.0,823676540.0
- Thuế bảo vệ môi trường,Thuế và các khoản phải nộp > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,115.481.683,5.500.000,5.500.000,115.481.683,115481683.0,5500000.0,5500000.0,115481683.0
- Các loại thuế khác,Thuế và các khoản phải nộp > - Các loại thuế khác,- Các loại thuế khác,4.448.329.530,22.462.092.160,22.778.996.416,4.129.131.617,4448329530.0,22462092160.0,22778996416.0,4129131617.0
