row_label_raw,row_label_full,Các Công ty con do Công ty mẹ đầu tư trực tiếp,Các Công ty con do Công ty mẹ đầu tư trực tiếp_1,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Các Công ty con do Công ty mẹ đầu tư trực tiếp_1,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Các Công ty con do Công ty mẹ đầu tư trực tiếp,Các Công ty con do Công ty mẹ đầu tư trực tiếp,Các Công ty con do Công ty mẹ đầu tư trực tiếp,Các Công ty con do Công ty mẹ đầu tư trực tiếp,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,,,,,,,,,,,
1. Công ty Cổ phần Thủy điện Nậm Chiến,Tên công ty > 1. Công ty Cổ phần Thủy điện Nậm Chiến,1. Công ty Cổ phần Thủy điện Nậm Chiến,"Tiểu khu 5, Thị trấn Ít Ong, huyện Mường La, tỉnh Sơn La",Kinh doanh diện thương phẩm,"74,41%","74,41%","68,93%","68,93%",,,0.7441,0.7441,0.6893,0.6893
2. Công ty Cổ phần Thủy điện Cần Đơn,Tên công ty > 2. Công ty Cổ phần Thủy điện Cần Đơn,2. Công ty Cổ phần Thủy điện Cần Đơn,"Áp Thanh Thủy, thị trấn Thanh Bình, huyện Bù Đốp, tỉnh Bình Phước",Kinh doanh diện thương phẩm,"50,96%","50,96%","50,96%","50,96%",,,0.5096,0.5096,0.5096,0.5096
3. Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A,Tên công ty > 3. Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A,3. Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A,"Số 96, đường Phạm Văn Đồng, phường Hoa lưu, TP Pleiku, tỉnh Gia Lai",Kinh doanh diện thương phẩm,"51,00%","51,00%","51,00%","51,00%",,,0.51,0.51,0.51,0.51
4. Công ty Cổ phần Sông Đà 3,Tên công ty > 4. Công ty Cổ phần Sông Đà 3,4. Công ty Cổ phần Sông Đà 3,"Tổ 4, đường Võ Nguyên Giáp, thị trấn Măng Đen, huyện Kon Plông, tỉnh Kon Tum, Việt Nam",Xây lắp,"51,00%","51,00%","51,00%","51,00%",,,0.51,0.51,0.51,0.51
5. Công ty Cổ phần Sông Đà 4,Tên công ty > 5. Công ty Cổ phần Sông Đà 4,5. Công ty Cổ phần Sông Đà 4,"Khu đô thị Văn Khê, phường La Khê, quận Hà Đông, thành phố Hà Nội",Xây lắp,"65,00%","65,00%","65,00%","65,00%",,,0.65,0.65,0.65,0.65
6. Công ty Cổ phần Sông Đà 5,Tên công ty > 6. Công ty Cổ phần Sông Đà 5,6. Công ty Cổ phần Sông Đà 5,"Tầng 5, tháp B, tòa nhà HH4, KĐT Sông Đà Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Thành phố Hà Nội",Xây lắp,"64,16%","64,16%","64,16%","64,16%",,,0.6416,0.6416,0.6416,0.6416
7. Công ty Cổ phần Sông Đà 6,Tên công ty > 7. Công ty Cổ phần Sông Đà 6,7. Công ty Cổ phần Sông Đà 6,"Tòa nhà TM, khu đô thị La Khê, phường La Khê, quận Hà Đông, thành phố Hà Nội",Xây lắp,"65,00%","65,00%","65,00%","65,00%",,,0.65,0.65,0.65,0.65
8. Công ty Cổ phần Sông Đà 9,Tên công ty > 8. Công ty Cổ phần Sông Đà 9,8. Công ty Cổ phần Sông Đà 9,"Tòa nhà Sông Đà 9, đường Phạm Hùng, phường Mỹ Đình 2, quận Nam Từ Liêm, thành phố Hà Nội",Xây lắp,"58,50%","58,50%","58,50%","58,50%",,,0.585,0.585,0.585,0.585
9. Công ty Cổ phần Sông Đà 10,Tên công ty > 9. Công ty Cổ phần Sông Đà 10,9. Công ty Cổ phần Sông Đà 10,"Tầng 10-11, tòa nhà sông Đà, đường Phạm Hùng, phường Mỹ Đình 1, quận Nam Từ Liêm, Thành phố Hà Nội",Xây lắp,"62,27%","62,27%","62,27%","62,27%",,,0.6227,0.6227,0.6227,0.6227
10. Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,Tên công ty > 10. Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,10. Công ty Cổ phần Phòng cháy chữa cháy và Đầu tư Xây dựng Sông Đà,"P501 tầng 5 số 121 Trần Đăng Ninh, phường Dịch Vọng, quận Cầu Giấy, thành phố Hà Nội",Xây lắp,"51,00%","51,00%","51,00%","51,00%",,,0.51,0.51,0.51,0.51
11. Công ty Cổ phần Tư vấn Sông Đà,Tên công ty > 11. Công ty Cổ phần Tư vấn Sông Đà,11. Công ty Cổ phần Tư vấn Sông Đà,"Nhà G9, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội",Dịch vụ tư vấn,"51,01%","51,01%","51,01%","51,01%",,,0.5101,0.5101,0.5101,0.5101
12. Công ty TNHH Một thành viên Hạ tầng Sông Đà,Tên công ty > 12. Công ty TNHH Một thành viên Hạ tầng Sông Đà,12. Công ty TNHH Một thành viên Hạ tầng Sông Đà,"Nhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội, Việt Nam",Thu phí đường bộ,"100,00%","100,00%","100,00%","100,00%",,,1.0,1.0,1.0,1.0
