row_label_raw,row_label_full,TÀI SẢN CÓ ĐỊNH VÔ HÌNH,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_1,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_2,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_3,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_4,TÀI SẢN CÓ ĐỊNH VÔ HÌNH_5,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_1,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_2,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_3,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_4,numeric__TÀI SẢN CÓ ĐỊNH VÔ HÌNH_5
,,,Quyền sử dụng đấtVND,Thương hiệuSông ĐàVND,Phần mềmmáy vi tínhVND,TSCĐvô hình khácVND,CộngVND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,8.349.978.200,1.104.763.000,5.288.920.923,267.454.545,15.106.116.668,8349978200.0,1104763000.0,5288920923.0,267454545.0,15106116668.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,-,286.000.000,-,286.000.000,,,286000000.0,,286000000.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,8.349.978.200,1.104.763.000,5.574.920.923,267.454.545,15.392.116.668,8349978200.0,1104763000.0,5574920923.0,267454545.0,15392116668.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,
01/01/2024,HAO MÒN LỦY KẾ > 01/01/2024,01/01/2024,(337.478.200),(1.104.763.000),(4.491.004.850),(199.369.501),(6.136.608.009),-337478200.0,-1104763000.0,-4491004850.0,-199369501.0,-6136608009.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,-,-,(207.673.280),(25.818.180),(252.532.412),,,-207673280.0,-25818180.0,-252532412.0
31/12/2024,HAO MÒN LỦY KẾ > 31/12/2024,31/12/2024,(337.478.200),(1.104.763.000),(4.698.678.130),(225.187.681),(6.389.140.421),-337478200.0,-1104763000.0,-4698678130.0,-225187681.0,-6389140421.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,8.012.500.000,-,797.916.073,68.085.044,8.969.508.659,8012500000.0,,797916073.0,68085044.0,8969508659.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,8.012.500.000,-,876.242.793,42.266.864,9.002.976.247,8012500000.0,,876242793.0,42266864.0,9002976247.0
