row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số minh,Thuyết,31/12/2024 VND,01/01/2024 VND,numeric__TÀI SẢN_1,numeric__Mã số minh,numeric__Thuyết,numeric__31/12/2024 VND,numeric__01/01/2024 VND
II.,II.,II.,Tài sản cố định,220,,7.069.419.166.562,7.658.586.203.572,,220.0,,7069419166562.0,7658586203572.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,6.995.524.803.852,7.583.813.455.663,,221.0,13.0,6995524803852.0,7583813455663.0
1.,1.,1.,- Nguyên giá,222,,17.472.894.960.956,17.562.537.516.427,,222.0,,17472894960956.0,17562537516427.0
1.,1.,1.,- Giá trị hao mòn luỹ kế,223,,(10.477.370.157.104),(9.978.724.060.764),,223.0,,-10477370157104.0,-9978724060764.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,15,64.891.386.463,65.803.239.250,,224.0,15.0,64891386463.0,65803239250.0
2.,2.,2.,- Nguyên giá,225,,95.393.691.019,106.469.658.757,,225.0,,95393691019.0,106469658757.0
2.,2.,2.,- Giá trị hao mòn luỹ kế,226,,(30.502.304.556),(40.666.419.507),,226.0,,-30502304556.0,-40666419507.0
3.,3.,3.,Tài sản cố định vô hình,227,14,9.002.976.247,8.969.508.659,,227.0,14.0,9002976247.0,8969508659.0
3.,3.,3.,- Nguyên giá,228,,15.392.116.668,15.106.116.668,,228.0,,15392116668.0,15106116668.0
3.,3.,3.,- Giá trị hao mòn luỹ kế,229,,(6.389.140.421),(6.136.608.009),,229.0,,-6389140421.0,-6136608009.0
III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,230,,-,-,,230.0,,,
III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,- Nguyên giá,231,-,-,,,231.0,,
III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,III Bất động sản đầu tư,- Giá trị hao mòn luỹ kế,232,-,-,,,232.0,,
III Tài sản dở dang dài hạn,III Tài sản dở dang dài hạn,III Tài sản dở dang dài hạn,III Tài sản dở dang dài hạn,240,,204.740.779.185,159.528.204.100,,240.0,,204740779185.0,159528204100.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,-,,241.0,,,
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,16,204.740.779.185,159.528.204.100,,242.0,16.0,204740779185.0,159528204100.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,5,2.552.459.899.566,2.583.752.839.256,,250.0,5.0,2552459899566.0,2583752839256.0
1.,1.,1.,Đầu tư vào công ty con,251,,-,-,,251.0,,,
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,5.3,2.433.679.829.640,2.433.120.624.001,,252.0,53.0,2433679829640.0,2433120624001.0
3.,3.,3.,Đầu tư góp vốn vào các đơn vị khác,253,5.4,236.263.182.826,263.430.945.825,,253.0,54.0,236263182826.0,263430945825.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(118.483.112.900),(113.798.730.570),,254.0,,-118483112900.0,-113798730570.0
5.,5.,5.,Đầu tư nằm giữ đến ngày đáo hạn,255,5.2,1.000.000.000,1.000.000.000,,255.0,52.0,1000000000.0,1000000000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,201.094.352.063,240.290.963.743,,260.0,,201094352063.0,240290963743.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,63.443.376.049,102.276.380.864,,261.0,12.0,63443376049.0,102276380864.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,55.313.215.429,37.324.251.393,,262.0,,55313215429.0,37324251393.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,26.063.902.115,25.658.520.194,,263.0,,26063902115.0,25658520194.0
4.,4.,4.,Tài sản dài hạn khác,268,,-,-,,268.0,,,
5.,5.,5.,Lợi thế thương mại,269,,56.273.858.470,75.031.811.292,,269.0,,56273858470.0,75031811292.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,270,,22.258.539.466.780,22.725.714.842.507,,270.0,,22258539466780.0,22725714842507.0
