row_label_raw,row_label_full,Nội dung,31/12/2024 > Giá trịVND,31/12/2024 > Số có khả năng trả nợVND,01/01/2024 > Giá trịVND,01/01/2024 > Số có khả năng trả nợVND,numeric__31/12/2024 > Giá trịVND,numeric__31/12/2024 > Số có khả năng trả nợVND,numeric__01/01/2024 > Giá trịVND,numeric__01/01/2024 > Số có khả năng trả nợVND
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,3.220.915.297.845,3.220.915.297.845,3.688.940.418.370,3.688.940.418.370,3220915297845.0,3220915297845.0,3688940418370.0,3688940418370.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,678.362.462.082,678.362.462.082,1.218.881.174.964,1.218.881.174.964,678362462082.0,678362462082.0,1218881174964.0,1218881174964.0
Vay các tổ chức và cá nhân khác,Vay các tổ chức và cá nhân khác,Vay các tổ chức và cá nhân khác,45.307.662.246,45.307.662.246,20.802.222.391,20.802.222.391,45307662246.0,45307662246.0,20802222391.0,20802222391.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.497.245.173.517,2.497.245.173.517,2.449.257.021.015,2.449.257.021.015,2497245173517.0,2497245173517.0,2449257021015.0,2449257021015.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.491.840.980.964,2.491.840.980.964,2.435.350.748.487,2.435.350.748.487,2491840980964.0,2491840980964.0,2435350748487.0,2435350748487.0
Nợ thuê tài chính đến hạn trả,Nợ thuê tài chính đến hạn trả,Nợ thuê tài chính đến hạn trả,5.404.192.553,5.404.192.553,13.906.272.528,13.906.272.528,5404192553.0,5404192553.0,13906272528.0,13906272528.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,3.395.044.263.387,3.395.044.263.387,3.660.471.064.113,3.660.471.064.113,3395044263387.0,3395044263387.0,3660471064113.0,3660471064113.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,3.372.877.795.494,3.372.877.795.494,3.644.333.633.117,3.644.333.633.117,3372877795494.0,3372877795494.0,3644333633117.0,3644333633117.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,22.166.467.893,22.166.467.893,16.137.430.996,16.137.430.996,22166467893.0,22166467893.0,16137430996.0,16137430996.0
Cộng,Cộng,Cộng,6.615.959.561.232,6.615.959.561.232,7.349.411.482.483,7.349.411.482.483,6615959561232.0,6615959561232.0,7349411482483.0,7349411482483.0
