row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận tải truyền dẫn VND,Cộng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải truyền dẫn VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,85.665.741.145,20.803.917.612,106.469.658.757,85665741145.0,20803917612.0,106469658757.0
- Thuê tài chính trong năm,NGUYÊN GIÁ > - Thuê tài chính trong năm,- Thuê tài chính trong năm,21.523.764.576,3.401.519.322,24.925.283.898,21523764576.0,3401519322.0,24925283898.0
- Mua lại TSCĐ thuê tài chính,NGUYÊN GIÁ > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(33.699.460.000),(2.301.791.636),(36.001.251.636),-33699460000.0,-2301791636.0,-36001251636.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,73.490.045.721,21.903.645.298,95.393.691.019,73490045721.0,21903645298.0,95393691019.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
01/01/2024,HAO MÒN LỦY KẾ > 01/01/2024,01/01/2024,(33.229.159.709),(7.437.259.798),(40.666.419.507),-33229159709.0,-7437259798.0,-40666419507.0
- Khấu hao trong năm,HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(11.004.347.226),(5.154.718.440),(16.159.065.666),-11004347226.0,-5154718440.0,-16159065666.0
- Mua lại TSCĐ thuê tài chính,HAO MÒN LỦY KẾ > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,25.190.156.234,1.133.024.383,26.323.180.617,25190156234.0,1133024383.0,26323180617.0
31/12/2024,HAO MÒN LỦY KẾ > 31/12/2024,31/12/2024,(19.043.350.701),(11.458.953.855),(30.502.304.556),-19043350701.0,-11458953855.0,-30502304556.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,52.436.581.436,13.366.657.814,65.803.239.250,52436581436.0,13366657814.0,65803239250.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,54.446.695.020,10.444.691.443,64.891.386.463,54446695020.0,10444691443.0,64891386463.0
