row_label_raw,row_label_full,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất),T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_4,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_4
,,,Sản xuất Công nghiệp,Xây lắp,Các lĩnh vực khác,Cộng,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,2.023.964.894.029,3.046.345.725.727,513.290.618.550,5.583.601.238.306,2023964894029.0,3046345725727.0,513290618550.0,5583601238306.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,,,,-,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,2.023.964.894.029,3.046.345.725.727,513.290.618.550,5.583.601.238.306,2023964894029.0,3046345725727.0,513290618550.0,5583601238306.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,1.027.919.466.845,8.472.406.237,138.916.931.232,1.175.308.804.314,1027919466845.0,8472406237.0,138916931232.0,1175308804314.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(404.692.233.251),,,,-404692233251.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,770.616.571.063,,,,770616571063.0
Doanh thu hoạt động tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,571.957.534.305,,,,571957534305.0
Chi phí tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,(893.787.767.347),,,,-893787767347.0
