row_label_raw,row_label_full,Số dư đầu năm > Dự phòng rủi ro trích lập/(hoàn nhập)trong năm,Chứng khoánđầu tư sãnsáng để bánTriệu đồng > 161.117 > 104.202,Chứng khoánđầu tư giữ đếngày đáo hạnTriệu đồng > 816.749 > (26.394),TổngTriệu đồng > 977.866 > 77.808,numeric__Chứng khoánđầu tư sãnsáng để bánTriệu đồng > 161.117 > 104.202,numeric__Chứng khoánđầu tư giữ đếngày đáo hạnTriệu đồng > 816.749 > (26.394),numeric__TổngTriệu đồng > 977.866 > 77.808
Trong đó:,Trong đó:,Trong đó:,,,,,,
Trái phiếu đặc biệt (Thuyết minh số 34),Trong đó: > Trái phiếu đặc biệt (Thuyết minh số 34),Trái phiếu đặc biệt (Thuyết minh số 34),-,(26.394),(26.394),,-26394.0,-26394.0
Chứng khoán khác (Thuyết minh số 30),Trong đó: > Chứng khoán khác (Thuyết minh số 30),Chứng khoán khác (Thuyết minh số 30),104.202,-,104.202,104202.0,,104202.0
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,265.319,790.355,1.055.674,265319.0,790355.0,1055674.0
