row_label_raw,row_label_full,Phải trả về nghiệp vụ thư tín dụng trả chậm(Thuyết minh số 15.1) (i),Ngày 31 tháng 12năm 2018Triệu đồng > 7.730.682,Ngày 31 tháng 12năm 2017(Phân loại)(*)Triệu đồng > 5.148.955,numeric__Ngày 31 tháng 12năm 2018Triệu đồng > 7.730.682,numeric__Ngày 31 tháng 12năm 2017(Phân loại)(*)Triệu đồng > 5.148.955
"Vay các TCTC, TCTD khác","Vay các TCTC, TCTD khác","Vay các TCTC, TCTD khác",25.355.575,25.080.513,25355575.0,25080513.0
Bằng VND,Bằng VND,Bằng VND,8.470.907,8.939.511,8470907.0,8939511.0
Trong đó: Phải trả liên quan đến các hợpđồng bán và mua lại giấy tờ có giá bằngVND (*),Trong đó: Phải trả liên quan đến các hợpđồng bán và mua lại giấy tờ có giá bằngVND (*),Trong đó: Phải trả liên quan đến các hợpđồng bán và mua lại giấy tờ có giá bằngVND (*),425.450,1.292.844,425450.0,1292844.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,16.884.668,16.141.002,16884668.0,16141002.0
"Trong đó: Vốn vay bằng ngoại tệ từ Công tyTài Chính Quốc tế (""IFC"") (ii)","Trong đó: Vốn vay bằng ngoại tệ từ Công tyTài Chính Quốc tế (""IFC"") (ii)","Trong đó: Vốn vay bằng ngoại tệ từ Công tyTài Chính Quốc tế (""IFC"") (ii)",3.103.829,3.570.587,3103829.0,3570587.0
,,,33.086.257,30.229.468,33086257.0,30229468.0
