row_label_raw,row_label_full,col_0,2018Triệu đồng,2017Triệu đồng,numeric__2018Triệu đồng,numeric__2017Triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,3.818.797,3.210.071,3818797.0,3210071.0
Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,484.067,288.572,484067.0,288572.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,128.329,138.538,128329.0,138538.0
Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,2.187.364,2.205.667,2187364.0,2205667.0
Thu khác,Thu khác,Thu khác,1.019.037,577.294,1019037.0,577294.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(2.206.301),(1.748.527),-2206301.0,-1748527.0
Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,(284.048),(232.274),-284048.0,-232274.0
Dịch vụ tư vấn,Dịch vụ tư vấn,Dịch vụ tư vấn,(5.066),(6.673),-5066.0,-6673.0
Hoa hồng môi giới,Hoa hồng môi giới,Hoa hồng môi giới,(1.306.493),(1.106.563),-1306493.0,-1106563.0
Chi khác,Chi khác,Chi khác,(610.694),(403.017),-610694.0,-403017.0
,,,1.612.496,1.461.544,1612496.0,1461544.0
