row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,69.147,554.079,623.226,69147.0,554079.0,623226.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,25.430,25.430,,25430.0,25430.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,310.633,310.633,,310633.0,310633.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,69.147,890.142,959.289,69147.0,890142.0,959289.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,868,271.554,272.422,868.0,271554.0,272422.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,109.343,109.343,,109343.0,109343.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,868,380.897,381.765,868.0,380897.0,381765.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,68.279,282.525,350.804,68279.0,282525.0,350804.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,68.279,509.245,577.524,68279.0,509245.0,577524.0
