row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu/Phải trả,Phải thu/Phải trả_1,numeric__Số dư,numeric__Phải thu/Phải trả,numeric__Phải thu/Phải trả_1
Bên liên quan,Bên liên quan,Bên liên quan,Số dư,Ngày 31 tháng 12năm 2018Triệu đồng,Ngày 31 tháng 12năm 2017Triệu đồng,,,
"Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Bên liên quan > Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc",Tiền gửi tại Ngân hàng,53.314,40.962,,53314.0,40962.0
