row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng côngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng côngTriệu đồng
Tổng dư nợ cho vay khách hàng và cấp tín dụng cho các TCTD khác,Tổng dư nợ cho vay khách hàng và cấp tín dụng cho các TCTD khác,Tổng dư nợ cho vay khách hàng và cấp tín dụng cho các TCTD khác,223.195.639,220,223.195.859,223195639.0,220.0,223195859.0
Tổng huy động,Tổng huy động,Tổng huy động,258.324.491,19.526.859,277.851.350,258324491.0,19526859.0,277851350.0
Các cam kết tín dụng và bảo lãnh khác,Các cam kết tín dụng và bảo lãnh khác,Các cam kết tín dụng và bảo lãnh khác,28.681.672,-,28.681.672,28681672.0,,28681672.0
Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,15.807,2.764,18.571,15807.0,2764.0,18571.0
Kinh doanh và đầu tư chứng khoán,Kinh doanh và đầu tư chứng khoán,Kinh doanh và đầu tư chứng khoán,57.222.832,-,57.222.832,57222832.0,,57222832.0
