row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,col_8,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__col_8
,,,Trên 3 thángTriệu đồng,Đến 3 thángTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 12thángTriệu đồng,Từ 1 đến 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,1.855.473,-,-,-,-,1.855.473,,,1855473.0,,,,,1855473.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tài sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,10.828.571,-,-,-,-,10.828.571,,,10828571.0,,,,,10828571.0
Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,Tài sản > Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,-,-,14.737.888,1.150.935,682.668,-,-,16.571.491,,,14737888.0,1150935.0,682668.0,,,16571491.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,4.240.742,-,-,-,-,4.240.742,,,4240742.0,,,,,4240742.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,3.695.301,4.824.861,18.034.385,5.588.991,21.575.231,64.251.535,103.991.692,221.961.996,3695301.0,4824861.0,18034385.0,5588991.0,21575231.0,64251535.0,103991692.0,221961996.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,2.881.386,1.027.764,7.989.360,31.743.795,9.339.785,52.982.090,,,2881386.0,1027764.0,7989360.0,31743795.0,9339785.0,52982090.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,227.602,227.602,,,,,,,227602.0,227602.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.963.096,1.963.096,,,,,,,1963096.0,1963096.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,104.456,14.384,9.999.624,552.804,6.711.998,-,-,17.383.266,104456.0,14384.0,9999624.0,552804.0,6711998.0,,,17383266.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.799.757,4.839.245,62.578.069,8.320.494,36.959.257,95.995.330,115.522.175,328.014.327,3799757.0,4839245.0,62578069.0,8320494.0,36959257.0,95995330.0,115522175.0,328014327.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
