row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2018Triệu đồng,Ngày 31 tháng 12năm 2017(Phân loại lại)(*)Triệu đồng,numeric__Ngày 31 tháng 12năm 2018Triệu đồng,numeric__Ngày 31 tháng 12năm 2017(Phân loại lại)(*)Triệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,423.965,719.909,423965.0,719909.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,423.965,719.909,423965.0,719909.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,4.984.233,4.039.002,4984233.0,4039002.0
Các khoản khách hàng trả trước,Các khoản khách hàng trả trước,Các khoản khách hàng trả trước,1.289.540,1.208.308,1289540.0,1208308.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,199.935,133.891,199935.0,133891.0
Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,553.217,243.341,553217.0,243341.0
Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,,,,
Nhà nước (Thuyết minh số 22),Thuế và các khoản phải trả ngân sách > Nhà nước (Thuyết minh số 22),Nhà nước (Thuyết minh số 22),789.595,759.545,789595.0,759545.0
Phải trả về hoạt động thanh toán,Thuế và các khoản phải trả ngân sách > Phải trả về hoạt động thanh toán,Phải trả về hoạt động thanh toán,537.405,473.750,537405.0,473750.0
Phải trả nhà cung cấp,Thuế và các khoản phải trả ngân sách > Phải trả nhà cung cấp,Phải trả nhà cung cấp,223.702,126.999,223702.0,126999.0
Các khoản phải trả khác,Thuế và các khoản phải trả ngân sách > Các khoản phải trả khác,Các khoản phải trả khác,1.390.839,1.093.168,1390839.0,1093168.0
,,,5.408.198,4.758.911,5408198.0,4758911.0
