row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018_1,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017_1,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2018_1,numeric__Ngày 31 tháng 12 năm 2017,numeric__Ngày 31 tháng 12 năm 2017_1
,,,Số lượngCổ phiếu,Mệnh giáTriệu đồng,Số lượngCổ phiếu,Mệnh giáTriệu đồng,,,,
Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,2.529.967.966,25.299.680,1.570.623.015,15.706.230,2529967966.0,25299680.0,1570623015.0,15706230.0
Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,2.529.967.966,25.299.680,1.570.623.015,15.706.230,2529967966.0,25299680.0,1570623015.0,15706230.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,2.456.748.366,24.567.484,1.497.403.415,14.974.034,2456748366.0,24567484.0,1497403415.0,14974034.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,73.219.600,732.196,73.219.600,732.196,73219600.0,732196.0,73219600.0,732196.0
Số lượng cổ phiếu đã được mua lại làm cổ phiếu quỹ,Số lượng cổ phiếu đã được mua lại làm cổ phiếu quỹ,Số lượng cổ phiếu đã được mua lại làm cổ phiếu quỹ,(73.219.600),(732.196),-,-,-73219600.0,-732196.0,,
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,-,-,-,-,,,,
- Cổ phiếu ưu đãi (*),- Cổ phiếu phổ thông > - Cổ phiếu ưu đãi (*),- Cổ phiếu ưu đãi (*),(73.219.600),(732.196),-,-,-73219600.0,-732196.0,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu phổ thông > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,2.456.748.366,24.567.484,1.570.623.015,15.706.230,2456748366.0,24567484.0,1570623015.0,15706230.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,2.456.748.366,24.567.484,1.497.403.415,14.974.034,2456748366.0,24567484.0,1497403415.0,14974034.0
- Cổ phiếu ưu đãi,- Cổ phiếu phổ thông > - Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,73.219.600,732.196,,,73219600.0,732196.0
