row_label_raw,row_label_full,col_0,Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh Triệu đồng,Giá trị ghi số > Giữ đến ngày đáo hạn Triệu đồng,Giá trị ghi số > Cho vay và phải thu Triệu đồng,Giá trị ghi số > Sẵn sáng để bán Triệu đồng,Giá trị ghi số > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,Giá trị ghi số > Tổng cộng giá trị ghi số Triệu đồng,Giá trị ghi số > Giá trị hợp lý Triệu đồng,numeric__Giá trị ghi số > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh Triệu đồng,numeric__Giá trị ghi số > Giữ đến ngày đáo hạn Triệu đồng,numeric__Giá trị ghi số > Cho vay và phải thu Triệu đồng,numeric__Giá trị ghi số > Sẵn sáng để bán Triệu đồng,numeric__Giá trị ghi số > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,numeric__Giá trị ghi số > Tổng cộng giá trị ghi số Triệu đồng,numeric__Giá trị ghi số > Giá trị hợp lý Triệu đồng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,1.855.473,-,-,1.855.473,1.855.473,,,1855473.0,,,1855473.0,1855473.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,10.828.571,-,-,10.828.571,(*),,,10828571.0,,,10828571.0,
Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,Tiền gửi và cấp tin dụng cho các TCTD khác – gộp,-,-,16.571.491,-,-,16.571.491,(*),,,16571491.0,,,16571491.0,
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,4.240.742,-,-,-,-,4.240.742,(*),4240742.0,,,,,4240742.0,
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,-,-,221.961.996,-,-,221.961.996,(*),,,221961996.0,,,221961996.0,
Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,-,-,-,49.417.157,-,49.417.157,(*),,,,49417157.0,,49417157.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,-,3.564.933,-,-,-,3.564.933,(*),,3564933.0,,,,3564933.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,14.474.232,227.602,-,14.701.834,(*),,,14474232.0,227602.0,,14701834.0,
,,,4.240.742,3.564.933,265.691.763,49.644.759,-,323.142.197,,4240742.0,3564933.0,265691763.0,49644759.0,,323142197.0,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,-,-,-,-,3.781.343,3.781.343,(*),,,,,3781343.0,3781343.0,
"Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,-,-,54.231.451,54.231.451,(*),,,,,54231451.0,54231451.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,170.850.871,170.850.871,(*),,,,,170850871.0,170850871.0,
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,18.571,-,-,-,-,18.571,(*),18571.0,,,,,18571.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro",-,-,-,-,329.649,329.649,(*),,,,,329649.0,329649.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,48.658.036,48.658.036,(*),,,,,48658036.0,48658036.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,9.216.789,9.216.789,(*),,,,,9216789.0,9216789.0,
,,,18.571,-,-,-,287.068.139,287.086.710,,18571.0,,,,287068139.0,287086710.0,
