row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2017Đã trình bàyTriệu đồng,Ngày 31 tháng 12 năm 2017Đã trình bàyTriệu đồng_1,Phân loại lạiTriệu đồng,Phân loại lạiTriệu đồng_1,Ngày 31 tháng 12 năm 2017Phân loại lạiTriệu đồng,Ngày 31 tháng 12 năm 2017Phân loại lạiTriệu đồng_1,numeric__Ngày 31 tháng 12 năm 2017Đã trình bàyTriệu đồng_1,numeric__Phân loại lạiTriệu đồng,numeric__Phân loại lạiTriệu đồng_1,numeric__Ngày 31 tháng 12 năm 2017Phân loại lạiTriệu đồng,numeric__Ngày 31 tháng 12 năm 2017Phân loại lạiTriệu đồng_1
,,,%,,%,,%,,,,,
3.538.605,3.538.605,3.538.605,"1,94",(26.266),"(0,02)",3.512.339,"1,92",1.94,-26266.0,-0.02,3512339.0,1.92
268.934,268.934,268.934,"0,15",(15.178),"(0,01)",253.756,"0,14",0.15,-15178.0,-0.01,253756.0,0.14
12.141.713,12.141.713,12.141.713,"6,65",(45.144),"(0,03)",12.096.569,"6,62",6.65,-45144.0,-0.03,12096569.0,6.62
2.171.806,2.171.806,2.171.806,"1,19",(2.015),"(0,00)",2.169.791,"1,19",1.19,-2015.0,-0.0,2169791.0,1.19
227.500,227.500,227.500,"0,12",(364),"(0,00)",227.136,"0,12",0.12,-364.0,-0.0,227136.0,0.12
8.333.164,8.333.164,8.333.164,"4,56",(536.471),"(0,29)",7.796.693,"4,27",4.56,-536471.0,-0.29,7796693.0,4.27
22.300.670,22.300.670,22.300.670,"12,21",(149.834),"(0,08)",22.150.836,"12,13",12.21,-149834.0,-0.08,22150836.0,12.13
9.381.099,9.381.099,9.381.099,"5,14",(59.626),"(0,04)",9.321.473,"5,10",5.14,-59626.0,-0.04,9321473.0,5.1
4.235.161,4.235.161,4.235.161,"2,32",(45.488),"(0,03)",4.189.673,"2,29",2.32,-45488.0,-0.03,4189673.0,2.29
460.972,460.972,460.972,"0,25",(7.523),"(0,00)",453.449,"0,25",0.25,-7523.0,-0.0,453449.0,0.25
1.911.085,1.911.085,1.911.085,"1,05",(42.676),"(0,03)",1.868.409,"1,02",1.05,-42676.0,-0.03,1868409.0,1.02
15.553.631,15.553.631,15.553.631,"8,51",18.036.369,"9,88",33.590.000,"18,39",8.51,18036369.0,9.88,33590000.0,18.39
255.577,255.577,255.577,"0,14",(21.190),"(0,01)",234.387,"0,13",0.14,-21190.0,-0.01,234387.0,0.13
1.225.731,1.225.731,1.225.731,"0,67",(16.630),"(0,01)",1.209.101,"0,66",0.67,-16630.0,-0.01,1209101.0,0.66
40.051,40.051,40.051,"0,02",(13.809),"(0,01)",26.242,"0,01",0.02,-13809.0,-0.01,26242.0,0.01
338.584,338.584,338.584,"0,19",(3.192),"(0,01)",335.392,"0,18",0.19,-3192.0,-0.01,335392.0,0.18
389.020,389.020,389.020,"0,21",(4.401),"(0,00)",384.619,"0,21",0.21,-4401.0,-0.0,384619.0,0.21
275.179,275.179,275.179,"0,15",(394),"(0,00)",274.785,"0,15",0.15,-394.0,-0.0,274785.0,0.15
1.541.832,1.541.832,1.541.832,"0,84",(34.154),"(0,01)",1.507.678,"0,83",0.84,-34154.0,-0.01,1507678.0,0.83
97.976.774,97.976.774,97.976.774,"53,64",(17.010.763),"(9,30)",80.966.011,"44,34",53.64,-17010763.0,-9.3,80966011.0,44.34
99.125,99.125,99.125,"0,05",(1.251),"(0,00)",97.874,"0,05",0.05,-1251.0,-0.0,97874.0,0.05
182.666.213,182.666.213,182.666.213,100,-,-,182.666.213,100,100.0,,,182666213.0,100.0
