row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bịdụng cụquản lýTriệu đồng,Tài sảncó định khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bịdụng cụquản lýTriệu đồng,numeric__Tài sảncó định khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,84.321,706.403,151.863,89.162,59.009,1.090.758,84321.0,706403.0,151863.0,89162.0,59009.0,1090758.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,47.864,36.433,6.495,2.189,124,93.105,47864.0,36433.0,6495.0,2189.0,124.0,93105.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,900.275,106.386,2.356,14.994,17.059,1.041.070,900275.0,106386.0,2356.0,14994.0,17059.0,1041070.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(842),(9.489),(2.336),(1.041),(13.708),,-842.0,-9489.0,-2336.0,-1041.0,-13708.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.032.460,848.380,151.225,104.009,75.151,2.211.225,1032460.0,848380.0,151225.0,104009.0,75151.0,2211225.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,23.692,418.323,84.583,65.108,41.370,633.076,23692.0,418323.0,84583.0,65108.0,41370.0,633076.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.269,143.158,18.870,14.371,11.928,204.596,16269.0,143158.0,18870.0,14371.0,11928.0,204596.0
Giảm khác,Giá trị khấu hao lũy kế > Giảm khác,Giảm khác,-,(32),-,(10),-,(42),,-32.0,,-10.0,,-42.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(808),(7.879),(2.319),(971),(11.977),,-808.0,-7879.0,-2319.0,-971.0,-11977.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,39.961,560.641,95.574,77.150,52.327,825.653,39961.0,560641.0,95574.0,77150.0,52327.0,825653.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,60.629,288.080,67.280,24.054,17.639,457.682,60629.0,288080.0,67280.0,24054.0,17639.0,457682.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,992.499,287.739,55.651,26.859,22.824,1.385.572,992499.0,287739.0,55651.0,26859.0,22824.0,1385572.0
