row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3thángTriệu đồng,numeric__Từ 3 - 6thángTriệu đồng,numeric__Từ 6 - 12thángTriệu đồng,numeric__Từ 1 - 5nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,1.855.473,-,-,-,-,-,-,1.855.473,,1855473.0,,,,,,,1855473.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tài sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,10.828.571,-,-,-,-,-,10.828.571,,,10828571.0,,,,,,10828571.0
Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tài sản > Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,-,-,14.737.888,1.150.935,261.028,421.640,-,-,16.571.491,,,14737888.0,1150935.0,261028.0,421640.0,,,16571491.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,4.240.742,-,-,-,-,-,4.240.742,,,4240742.0,,,,,,4240742.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,8.520.162,-,37.472.107,33.625.662,34.250.804,63.686.733,43.898.453,508.075,221.961.996,8520162.0,,37472107.0,33625662.0,34250804.0,63686733.0,43898453.0,508075.0,221961996.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,4.346.272,4.653.576,5.137.308,2.877.719,6.393.290,21.548.925,8.025.000,52.982.090,,4346272.0,4653576.0,5137308.0,2877719.0,6393290.0,21548925.0,8025000.0,52982090.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,227.602,-,-,-,-,-,-,227.602,,227602.0,,,,,,,227602.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.963.096,-,-,-,-,-,-,1.963.096,,1963096.0,,,,,,,1963096.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,118.840,8.064.625,1.935.000,552.804,4.056.760,2.655.237,-,-,17.383.266,118840.0,8064625.0,1935000.0,552804.0,4056760.0,2655237.0,,,17383266.0
