row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2018 Triệu đồng,Ngày 31 tháng 12 năm 2017 (Phân loại lại) Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2018 Triệu đồng,numeric__Ngày 31 tháng 12 năm 2017 (Phân loại lại) Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,1.855.473,2.574.284,5.0,1855473.0,2574284.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,10.828.571,6.460.795,6.0,10828571.0,6460795.0
Tiền gửi và cấp tín dụng cho các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cấp tín dụng cho các tổ chức tín dụng khác,Tiền gửi và cấp tín dụng cho các tổ chức tín dụng khác,,16.571.491,17.520.025,,16571491.0,17520025.0
"Tiền gửi tại các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi tại các tổ chức tín dụng (""TCTD"") khác","Tiền gửi tại các tổ chức tín dụng (""TCTD"") khác",7.1,15.337.628,15.218.720,71.0,15337628.0,15218720.0
Cấp tín dụng cho các TCTD khác,TÀI SẢN > Cấp tín dụng cho các TCTD khác,Cấp tín dụng cho các TCTD khác,7.2,1.233.863,2.302.036,72.0,1233863.0,2302036.0
Dự phòng rủi ro,TÀI SẢN > Dự phòng rủi ro,Dự phòng rủi ro,,-,(731),,,-731.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,4.202.413,1.424.854,8.0,4202413.0,1424854.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,4.240.742,1.424.854,,4240742.0,1424854.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(38.329),-,,-38329.0,
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,218.395.223,179.518.809,,218395223.0,179518809.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,221.961.996,182.666.213,10.0,221961996.0,182666213.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(3.566.773),(3.147.404),11.0,-3566773.0,-3147404.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,51.926.416,53.558.049,,51926416.0,53558049.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,49.417.157,50.384.788,121.0,49417157.0,50384788.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,3.564.933,4.151.127,122.0,3564933.0,4151127.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.3,(1.055.674),(977.866),123.0,-1055674.0,-977866.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,190.654,152.506,13.0,190654.0,152506.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,227.602,194.602,,227602.0,194602.0
Dự phòng đầu tư dài hạn,TÀI SẢN > Dự phòng đầu tư dài hạn,Dự phòng đầu tư dài hạn,,(36.948),(42.096),,-36948.0,-42096.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,1.963.096,808.486,,1963096.0,808486.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14.1,1.385.572,457.682,141.0,1385572.0,457682.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,2.211.225,1.090.758,,2211225.0,1090758.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(825.653),(633.076),,-825653.0,-633076.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,14.2,577.524,350.804,142.0,577524.0,350804.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,959.289,623.226,,959289.0,623226.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(381.765),(272.422),,-381765.0,-272422.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,17.357.782,15.734.506,,17357782.0,15734506.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,15.1,10.482.282,8.539.528,151.0,10482282.0,8539528.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",15.2,4.427.765,3.812.015,152.0,4427765.0,3812015.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15.3,2.473.219,3.404.366,153.0,2473219.0,3404366.0
Dự phòng rủi ro cho các tài sản Có nôi bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nôi bằng khác,Dự phòng rủi ro cho các tài sản Có nôi bằng khác,15.4,(25.484),(21.403),154.0,-25484.0,-21403.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,323.291.119,277.752.314,,323291119.0,277752314.0
