row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2018%/năm,Ngày 31 tháng12 năm 2017%/năm,numeric__Ngày 31 tháng 12năm 2018%/năm,numeric__Ngày 31 tháng12 năm 2017%/năm
Mức lãi suất cho vay thương mại bằng VND,Mức lãi suất cho vay thương mại bằng VND,Mức lãi suất cho vay thương mại bằng VND,"3,00 -13,50","3,00 - 13,50",,
Mức lãi suất cho vay thương mại bằng ngoại tệ,Mức lãi suất cho vay thương mại bằng ngoại tệ,Mức lãi suất cho vay thương mại bằng ngoại tệ,"3,30 - 5,50","2,30 - 4,50",,
Lãi suất trung bình cho vay tiêu dùng bằng VND,Mức lãi suất cho vay thương mại bằng ngoại tệ > Lãi suất trung bình cho vay tiêu dùng bằng VND,Lãi suất trung bình cho vay tiêu dùng bằng VND,"43,83","43,90",43.83,43.9
