row_label_raw,row_label_full,col_0,Chưa quá hạnTriệu đồng,Đã quá hạn nhưng chưa bị giảm giáTriệu đồng,Đã quá hạn và đã trích lập dự phòngTriệu đồng,Tổng cộngTriệu đồng,numeric__Chưa quá hạnTriệu đồng,numeric__Đã quá hạn nhưng chưa bị giảm giáTriệu đồng,numeric__Đã quá hạn và đã trích lập dự phòngTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,16.571.491,-,-,16.571.491,16571491.0,,,16571491.0
- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,15.337.628,-,-,15.337.628,15337628.0,,,15337628.0
- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,1.233.863,-,-,1.233.863,1233863.0,,,1233863.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,4.240.742,-,-,4.240.742,4240742.0,,,4240742.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,202.527.738,2.405.656,17.028.602,221.961.996,202527738.0,2405656.0,17028602.0,221961996.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,52.982.090,-,-,52.982.090,52982090.0,,,52982090.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,49.417.157,-,-,49.417.157,49417157.0,,,49417157.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,3.564.933,-,-,3.564.933,3564933.0,,,3564933.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,17.264.426,63.188,55.652,17.383.266,17264426.0,63188.0,55652.0,17383266.0
Tổng cộng,Tổng cộng,Tổng cộng,293.586.487,2.468.844,17.084.254,313.139.585,293586487.0,2468844.0,17084254.0,313139585.0
