row_label_raw,row_label_full,col_0,Giá trị ghi sổ và số có khả năng trả nợ > 31/12/2017VND,Giá trị ghi sổ và số có khả năng trả nợ > 1/1/2017VND,numeric__Giá trị ghi sổ và số có khả năng trả nợ > 31/12/2017VND,numeric__Giá trị ghi sổ và số có khả năng trả nợ > 1/1/2017VND
Công ty Cổ phần Bất Động Sản Ngôi Sao Toàn Cầu,Công ty Cổ phần Bất Động Sản Ngôi Sao Toàn Cầu,Công ty Cổ phần Bất Động Sản Ngôi Sao Toàn Cầu,73.318.200.742,19.099.820.394,73318200742.0,19099820394.0
Công ty Cổ phần Truyền thông và Giải trí,Công ty Cổ phần Truyền thông và Giải trí,Công ty Cổ phần Truyền thông và Giải trí,,,,
Ngôi Sao Mới,Công ty Cổ phần Truyền thông và Giải trí > Ngôi Sao Mới,Ngôi Sao Mới,17.529.688.180,-,17529688180.0,
Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Truyền thông và Giải trí > Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,12.308.638.827,-,12308638827.0,
Công ty Cổ phần Tập đoàn Thế ký,Công ty Cổ phần Truyền thông và Giải trí > Công ty Cổ phần Tập đoàn Thế ký,Công ty Cổ phần Tập đoàn Thế ký,5.592.431.128,-,5592431128.0,
Công ty Cổ phần Nhà rè 24h,Công ty Cổ phần Truyền thông và Giải trí > Công ty Cổ phần Nhà rè 24h,Công ty Cổ phần Nhà rè 24h,3.287.676.982,1.203.116.939,3287676982.0,1203116939.0
Công ty Cổ phần Ủy thác Đầu tư và Quản lý Tài sản Netreal,Công ty Cổ phần Truyền thông và Giải trí > Công ty Cổ phần Ủy thác Đầu tư và Quản lý Tài sản Netreal,Công ty Cổ phần Ủy thác Đầu tư và Quản lý Tài sản Netreal,-,1.663.964.392,,1663964392.0
Phải trả các đối tượng khác,Công ty Cổ phần Truyền thông và Giải trí > Phải trả các đối tượng khác,Phải trả các đối tượng khác,3.674.529.008,3.525.831.586,3674529008.0,3525831586.0
,,,115.711.164.867,25.492.733.311,115711164867.0,25492733311.0
