row_label_raw,row_label_full,Thay đổi vốn chủ sở hữu,Thay đổi vốn chủ sở hữu_1,Thay đổi vốn chủ sở hữu_2,Thay đổi vốn chủ sở hữu_3,Thay đổi vốn chủ sở hữu_4,numeric__Thay đổi vốn chủ sở hữu_1,numeric__Thay đổi vốn chủ sở hữu_2,numeric__Thay đổi vốn chủ sở hữu_3,numeric__Thay đổi vốn chủ sở hữu_4
,,,Vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,,,,
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,130.000.000.000,-,87.086.521.293,217.086.521.293,130000000000.0,,87086521293.0,217086521293.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,128.991.948.892,128.991.948.892,,,128991948892.0,128991948892.0
Phân bố vào các quỹ,Phân bố vào các quỹ,Phân bố vào các quỹ,-,12.899.194.890,(32.247.987.225),(19.348.792.335),,12899194890.0,-32247987225.0,-19348792335.0
Giảm do phạt thanh tra thuế,Giảm do phạt thanh tra thuế,Giảm do phạt thanh tra thuế,-,-,(472.762.530),(472.762.530),,,-472762530.0,-472762530.0
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,130.000.000.000,12.899.194.890,183.357.720.430,326.256.915.320,130000000000.0,12899194890.0,183357720430.0,326256915320.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,81.000.000.000,-,-,81.000.000.000,81000000000.0,,,81000000000.0
Trả cổ tức bằng cổ phiếu (Thuyết minh 21),Trả cổ tức bằng cổ phiếu (Thuyết minh 21),Trả cổ tức bằng cổ phiếu (Thuyết minh 21),39.000.000.000,-,(39.000.000.000),-,39000000000.0,,-39000000000.0,
Trả cổ tức bằng tiền (Thuyết minh 21),Trả cổ tức bằng tiền (Thuyết minh 21),Trả cổ tức bằng tiền (Thuyết minh 21),-,-,(100.517.702.106),(100.517.702.106),,,-100517702106.0,-100517702106.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,217.109.090.620,217.109.090.620,,,217109090620.0,217109090620.0
Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,Số dư tại ngày 31/12/2017,250.000.000.000,12.899.194.890,260.949.108.944,523.848.303.834,250000000000.0,12899194890.0,260949108944.0,523848303834.0
