row_label_raw,row_label_full,col_0,Giá trị ghi số và số có khả năng trả nợ > 31/12/2017VND,Giá trị ghi số và số có khả năng trả nợ > 1/1/2017VND,numeric__Giá trị ghi số và số có khả năng trả nợ > 31/12/2017VND,numeric__Giá trị ghi số và số có khả năng trả nợ > 1/1/2017VND
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Công ty Cổ phần Tập đoàn Thế kỳ,Công ty mẹ > Công ty Cổ phần Tập đoàn Thế kỳ,Công ty Cổ phần Tập đoàn Thế kỳ,5.592.431.128,-,5592431128.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Cổ phần Bất Động Sản Ngôi Sao Toàn Cầu,Các bên liên quan khác > Công ty Cổ phần Bất Động Sản Ngôi Sao Toàn Cầu,Công ty Cổ phần Bất Động Sản Ngôi Sao Toàn Cầu,73.318.200.742,19.099.820.394,73318200742.0,19099820394.0
Công ty Cổ phần Truyền thông và Giải trí,Công ty Cổ phần Truyền thông và Giải trí,Công ty Cổ phần Truyền thông và Giải trí,Công ty Cổ phần Truyền thông và Giải trí,Công ty Cổ phần Truyền thông và Giải trí,,
Ngôi Sao Mới,Công ty Cổ phần Truyền thông và Giải trí > Ngôi Sao Mới,Ngôi Sao Mới,17.529.688.180,-,17529688180.0,
Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Truyền thông và Giải trí > Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,12.308.638.827,-,12308638827.0,
,,,108.748.958.877,19.099.820.394,108748958877.0,19099820394.0
