row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2017 VND,2016 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2017 VND,numeric__2016 VND
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,01,23,883.000.449.737,601.492.106.515,1.0,23.0,883000449737.0,601492106515.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,,528.491.950.745,328.901.676.364,11.0,,528491950745.0,328901676364.0
Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),20,,354.508.498.992,272.590.430.151,20.0,,354508498992.0,272590430151.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,,373.806.335,539.656.099,21.0,,373806335.0,539656099.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,,3.661.810.941,9.043.094.215,22.0,,3661810941.0,9043094215.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,3.661.810.941,9.043.094.215,23.0,,3661810941.0,9043094215.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,24,26.955.415.738,16.054.010.470,25.0,24.0,26955415738.0,16054010470.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,25,51.066.163.389,83.476.865.077,26.0,25.0,51066163389.0,83476865077.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,273.198.915.259,164.556.116.488,30.0,,273198915259.0,164556116488.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,138.548.379,349.820.465,31.0,,138548379.0,349820465.0
Chi phí khác,Chi phí khác,Chi phí khác,32,26,1.732.880.290,3.268.901.426,32.0,26.0,1732880290.0,3268901426.0
Lỗ khác (40 = 31 - 32),Lỗ khác (40 = 31 - 32),Lỗ khác (40 = 31 - 32),40,,(1.594.331.911),(2.919.080.961),40.0,,-1594331911.0,-2919080961.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,271.604.583.348,161.637.035.527,50.0,,271604583348.0,161637035527.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,28,54.495.492.728,32.645.086.635,51.0,28.0,54495492728.0,32645086635.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),60,,217.109.090.620,128.991.948.892,60.0,,217109090620.0,128991948892.0
