row_label_raw,row_label_full,Ông Nguyễn Trung Vũ,Chủ tịch,numeric__Chủ tịch
Bà Trần Thị Thanh Bình,Bà Trần Thị Thanh Bình,Bà Trần Thị Thanh Bình,Phó Chủ tịch,
Ông Phạm Thanh Hưng,Ông Phạm Thanh Hưng,Ông Phạm Thanh Hưng,Ủy viên,
Ông Nguyễn Anh Hương,Ông Nguyễn Anh Hương,Ông Nguyễn Anh Hương,Ủy viên,
Ông Nguyễn Thọ Tuyền,Ông Nguyễn Thọ Tuyền,Ông Nguyễn Thọ Tuyền,Ủy viên,
Ông Lê Xuân Nga,Ông Lê Xuân Nga,Ông Lê Xuân Nga,Ủy viên,
