row_label_raw,row_label_full,col_0,Phần mềm máy vi tính VND,Bản quyền phần mềm VND,Khác VND,Tổng cộng VND,numeric__Phần mềm máy vi tính VND,numeric__Bản quyền phần mềm VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,115.120.000,637.761.069,-,752.881.069,115120000.0,637761069.0,,752881069.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,374.727.273,374.727.273,,,374727273.0,374727273.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,115.120.000,637.761.069,374.727.273,1.127.608.342,115120000.0,637761069.0,374727273.0,1127608342.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,67.170.897,153.459.673,-,220.630.570,67170897.0,153459673.0,,220630570.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,18.753.336,127.552.224,51.071.848,197.377.408,18753336.0,127552224.0,51071848.0,197377408.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,85.924.233,281.011.897,51.071.848,418.007.978,85924233.0,281011897.0,51071848.0,418007978.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,47.949.103,484.301.396,-,532.250.499,47949103.0,484301396.0,,532250499.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,29.195.767,356.749.172,323.655.425,709.600.364,29195767.0,356749172.0,323655425.0,709600364.0
