row_label_raw,row_label_full,col_0,col_1,Số cuối nămVND,Số đầu nămVND,numeric__col_1,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Nguồn mua trả tiền trước,Nguồn mua trả tiền trước,Nguồn mua trả tiền trước,Nguồn mua trả tiền trước,Nguồn mua trả tiền trước,Nguồn mua trả tiền trước,,,
,,,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,-,4.450.000.000,,,4450000000.0
,,,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,4.549.487.250,4.328.548.064,,4549487250.0,4328548064.0
,,,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,12.779.211.913,2.456.379.664,,12779211913.0,2456379664.0
,,,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,6.636.153.000,14.173.291.208,,6636153000.0,14173291208.0
,,,,23.964.852.163,25.408.218.936,,23964852163.0,25408218936.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,,,
,,,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,44.570.336.403,-,,44570336403.0,
,,,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,44.570.336.403,-,,44570336403.0,
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,,,
,,,Ngân hàng TMCP Đại chúng Việt Nam - Chi nhánh TP. Hồ Chí Minh,629.383.072.193,-,,629383072193.0,
,,,Ngân hàng TMCP Đại chúng Việt Nam - Chi nhánh TP. Hồ Chí Minh,629.383.072.193,-,,629383072193.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
,,,Tập đoàn đầu khí Việt Nam - Cổ tức phải trả,233.204.253.000,-,,233204253000.0,
,,,,233.204.253.000,-,,233204253000.0,
