row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,114.000.000.000,,31.0,,114000000000.0
2.,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền thu từ đi vay,33,628.839.088.937,5.780.162.536,,33.0,628839088937.0,5780162536.0
3.,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,Tiền trả nợ gốc vay,34,-,(232.730.241.203),,34.0,,-232730241203.0
4.,III. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(398.368.476.800),(2.311.860.298.200),,36.0,-398368476800.0,-2311860298200.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,230.470.612.137,(2.424.810.376.867),,40.0,230470612137.0,-2424810376867.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(1.576.091.274.405),(1.637.112.434.123),,50.0,-1576091274405.0,-1637112434123.0
,,,Tiền và các khoản tương đương tiền đầu năm,60,3.551.725.949.149,5.188.813.158.588,,60.0,3551725949149.0,5188813158588.0
,,,Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,61,9.851.832,25.224.684,,61.0,9851832.0,25224684.0
,,,Tiền và các khoản tương đương tiền cuối năm (70=50+60+61),70,1.975.644.526.576,3.551.725.949.149,,70.0,1975644526576.0,3551725949149.0
