row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Giá gốc,Dự phòng,Giá trị hợp lý,Giá gốc,Dự phòng,Giá trị hợp lý,,,,,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,
Đầu tư vào công ty con,Đầu tư góp vốn vào đơn vị khác > Đầu tư vào công ty con,Đầu tư vào công ty con,386.250.000.000,-,376.575.000.000,386.250.000.000,-,507.300.000.000,386250000000.0,,376575000000.0,386250000000.0,,507300000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,75.000.000.000,-,82.500.000.000,75.000.000.000,-,121.500.000.000,75000000000.0,,82500000000.0,75000000000.0,,121500000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,127.500.000.000,-,122.400.000.000,127.500.000.000,-,175.950.000.000,127500000000.0,,122400000000.0,127500000000.0,,175950000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,93.750.000.000,-,84.375.000.000,93.750.000.000,-,93.750.000.000,93750000000.0,,84375000000.0,93750000000.0,,93750000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,90.000.000.000,-,87.300.000.000,90.000.000.000,-,116.100.000.000,90000000000.0,,87300000000.0,90000000000.0,,116100000000.0
Đầu tư vào công ty liên kết,Đầu tư góp vốn vào đơn vị khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,680.903.000.000,(662.700.000.000),33.675.180.000,680.903.000.000,(662.700.000.000),28.760.424.000,680903000000.0,-662700000000.0,33675180000.0,680903000000.0,-662700000000.0,28760424000.0
Công ty Cổ phần Phát triển Đô thị Dầu khí,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,100.000.000.000,(100.000.000.000),-,100.000.000.000,(100.000.000.000),-,100000000000.0,-100000000000.0,,100000000000.0,-100000000000.0,
Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí,562.700.000.000,(562.700.000.000),-,562.700.000.000,(562.700.000.000),-,562700000000.0,-562700000000.0,,562700000000.0,-562700000000.0,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,18.203.000.000,-,33.675.180.000,18.203.000.000,-,28.760.424.000,18203000000.0,,33675180000.0,18203000000.0,,28760424000.0
Đầu tư vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác > Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,20.502.000.000,(2.383.535.351),-,20.502.000.000,(2.974.231.565),-,20502000000.0,-2383535351.0,,20502000000.0,-2974231565.0,
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,-,3.600.000.000,-,-,3600000000.0,,,3600000000.0,,
Công ty Cổ phần Chế biển Thủy sản Út Xi,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Chế biển Thủy sản Út Xi,Công ty Cổ phần Chế biển Thủy sản Út Xi,16.902.000.000,(2.383.535.351),-,16.902.000.000,(2.974.231.565),-,16902000000.0,-2383535351.0,,16902000000.0,-2974231565.0,
