row_label_raw,row_label_full,Chi tiêu,Số đầu nămVND,Lũy kế từ đầu năm đến cuối năm > Phát sinh tăngVND,Lũy kế từ đầu năm đến cuối năm > Phát sinh giảmVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Lũy kế từ đầu năm đến cuối năm > Phát sinh tăngVND,numeric__Lũy kế từ đầu năm đến cuối năm > Phát sinh giảmVND,numeric__Số cuối nămVND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,,,,,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,3.152.818.774,3152818774.0,,,3152818774.0
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.331.039.232,2.761.637.567,4.331.039.232,2.761.637.567,4331039232.0,2761637567.0,4331039232.0,2761637567.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,7.483.858.006,2.761.637.567,4.331.039.232,5.914.456.341,7483858006.0,2761637567.0,4331039232.0,5914456341.0
,,,Số đầu nămVND,Lũy kế từ đầu năm đến cuối năm,Lũy kế từ đầu năm đến cuối năm,Số cuối nămVND,,,,
,,,Số đầu nămVND,Số phải nộpVND,Số đã nộpVND,Số cuối nămVND,,,,
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,,,,,
Thuế GTGT hàng bán nội địa,b) Các khoản phải trả > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,952.031.395,11.109.594.551,9.938.881.872,2.122.744.074,952031395.0,11109594551.0,9938881872.0,2122744074.0
Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,243.638.711.039,243.638.711.039,-,,243638711039.0,243638711039.0,
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,41.389.736.522,41.389.736.522,-,,41389736522.0,41389736522.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,13.315.524.542,127.814.613.285,132.256.123.480,8.874.014.347,13315524542.0,127814613285.0,132256123480.0,8874014347.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,165.679.809,35.507.257.695,34.749.624.909,923.312.595,165679809.0,35507257695.0,34749624909.0,923312595.0
Thuế tài nguyên,b) Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,29.528.640,1.981.849.440,1.873.379.520,137.998.560,29528640.0,1981849440.0,1873379520.0,137998560.0
Thuế bảo vệ môi trường,b) Các khoản phải trả > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,920.000,55.390.450,56.224.450,86.000,920000.0,55390450.0,56224450.0,86000.0
Thuế nhà đất,b) Các khoản phải trả > Thuế nhà đất,Thuế nhà đất,-,944.955.131,944.955.131,-,,944955131.0,944955131.0,
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,6.500.000,6.500.000,-,,6500000.0,6500000.0,
Thuế nhà thầu nước ngoài,b) Các khoản phải trả > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,20.514.548.140,20.514.548.140,-,,20514548140.0,20514548140.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,14.463.684.386,482.963.156.253,485.368.685.063,12.058.155.576,14463684386.0,482963156253.0,485368685063.0,12058155576.0
