row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,847.205.735.243,1.314.931.815.015,,1.0,847205735243.0,1314931815015.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,
,,,Khấu hao tài sản cố định và bất động sản đầu tư,02,174.098.510.485,222.933.455.897,,2.0,174098510485.0,222933455897.0
,,,Các khoản dự phòng,03,162.804.499.175,219.167.514.652,,3.0,162804499175.0,219167514652.0
,,,Lỗ/(Lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,534.131.424,(25.224.684),,4.0,534131424.0,-25224684.0
,,,(Lãi) từ hoạt động đầu tư,05,(198.485.599.091),(277.866.830.055),,5.0,-198485599091.0,-277866830055.0
,,,Chỉ phí lãi vay,06,-,4.473.655.664,,6.0,,4473655664.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,986.157.277.236,1.483.614.386.489,,8.0,986157277236.0,1483614386489.0
,,,"Tăng, giảm các khoản phải thu",09,(79.042.047.448),585.731.912.564,,9.0,-79042047448.0,585731912564.0
,,,"Tăng, giảm hàng tồn kho",10,(237.114.994.578),198.251.364.713,,10.0,-237114994578.0,198251364713.0
,,,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(290.188.980.770),(17.844.584.853),,11.0,-290188980770.0,-17844584853.0
,,,"Tăng, giảm chi phí trả trước",12,33.195.780.650,(34.870.718.972),,12.0,33195780650.0,-34870718972.0
,,,Tiền lãi vay đã trả,14,-,(4.473.655.664),,14.0,,-4473655664.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(132.256.123.480),(288.065.145.515),,15.0,-132256123480.0,-288065145515.0
,,,Tiền thu khác từ hoạt động kinh doanh,16,-,17.851.484.482,,16.0,,17851484482.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(102.057.821.583),(230.979.259.506),,17.0,-102057821583.0,-230979259506.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,178.693.090.027,1.709.215.783.738,,20.0,178693090027.0,1709215783738.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chỉ mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Tiền chỉ mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Tiền chỉ mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(1.387.185.031.855),(1.297.005.518.078),,21.0,-1387185031855.0,-1297005518078.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,13.774.818.182,-,,22.0,13774818182.0,
"3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác",23,(1.250.000.000.000),-,,23.0,-1250000000000.0,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,450.000.000.000,35.000.000.000,,24.0,450000000000.0,35000000000.0
5. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu hồi đầu tư vốn vào đơn vị khác,5. Tiền thu hồi đầu tư vốn vào đơn vị khác,5. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,-,63.530.094.000,,26.0,,63530094000.0
"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,188.155.237.104,276.957.583.084,,27.0,188155237104.0,276957583084.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.985.254.976.569),(921.517.840.994),,30.0,-1985254976569.0,-921517840994.0
