row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy mócvà thiết bị,Phương tiệnvân tài,Thiết bịvăn phòng,Khác,Tổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvân tài,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.818.094.860.743,5.403.880.477.392,57.716.663.055,155.027.252.324,8.276.902.505,7.442.996.156.019,1818094860743.0,5403880477392.0,57716663055.0,155027252324.0,8276902505.0,7442996156019.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,-,49.058.069.118,-,-,-,49.058.069.118,,49058069118.0,,,,49058069118.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,68.282.663,7.290.249.398,-,23.791.748.680,202.539.369,31.352.820.110,68282663.0,7290249398.0,,23791748680.0,202539369.0,31352820110.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(26.574.373.007),(1.744.238.985),(1.986.221.208),(149.280.810),-,(30.454.114.010),-26574373007.0,-1744238985.0,-1986221208.0,-149280810.0,,-30454114010.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(277.670.100.489),277.528.009.579,-,142.090.910,-,-,-277670100489.0,277528009579.0,,142090910.0,,
"Phân loại sang công cụ,dụng cụ, tài sản vô hình","NGUYÊN GIÁ > Phân loại sang công cụ,dụng cụ, tài sản vô hình","Phân loại sang công cụ,dụng cụ, tài sản vô hình",(38.018.766.120),-,-,-,-,(38.018.766.120),-38018766120.0,,,,,-38018766120.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.475.899.903.790,5.736.012.566.502,55.730.441.847,178.811.811.104,8.479.441.874,7.454.934.165.117,1475899903790.0,5736012566502.0,55730441847.0,178811811104.0,8479441874.0,7454934165117.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,929.952.231.692,5.347.163.056.752,49.068.205.141,115.151.263.090,7.117.502.079,6.448.452.258.754,929952231692.0,5347163056752.0,49068205141.0,115151263090.0,7117502079.0,6448452258754.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,93.836.414.901,30.424.885.102,3.040.950.439,26.926.148.955,584.089.703,154.812.489.100,93836414901.0,30424885102.0,3040950439.0,26926148955.0,584089703.0,154812489100.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(20.712.650.681),(1.744.238.985),(1.986.221.208),(149.280.810),-,(24.592.391.684),-20712650681.0,-1744238985.0,-1986221208.0,-149280810.0,,-24592391684.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(31.218.192.715),31.173.557.654,-,44.635.061,-,-,-31218192715.0,31173557654.0,,44635061.0,,
"Phân loại sang công cụ,dụng cụ, tài sản vô hình","GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại sang công cụ,dụng cụ, tài sản vô hình","Phân loại sang công cụ,dụng cụ, tài sản vô hình",(3.492.508.617),-,-,-,-,(3.492.508.617),-3492508617.0,,,,,-3492508617.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,968.365.294.580,5.407.017.260.523,50.122.934.372,141.972.766.296,7.701.591.782,6.575.179.847.553,968365294580.0,5407017260523.0,50122934372.0,141972766296.0,7701591782.0,6575179847553.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,507.534.609.210,328.995.305.979,5.607.507.475,36.839.044.808,777.850.092,879.754.317.564,507534609210.0,328995305979.0,5607507475.0,36839044808.0,777850092.0,879754317564.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,888.142.629.051,56.717.420.640,8.648.457.914,39.875.989.234,1.159.400.426,994.543.897.265,888142629051.0,56717420640.0,8648457914.0,39875989234.0,1159400426.0,994543897265.0
