row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.800.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,1.104.472.517.040,8.368.170.464.619,3800000000000.0,21179913858.0,-2296824120.0,3444814857841.0,1104472517040.0,8368170464619.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,1.101.864.733.226,1.101.864.733.226,,,,,1101864733226.0,1101864733226.0
Phát hành cổ phiếu trong năm,Phát hành cổ phiếu trong năm,Phát hành cổ phiếu trong năm,114.000.000.000,-,-,-,-,114.000.000.000,114000000000.0,,,,,114000000000.0
Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,Trích Quỹ Khen thưởng phúc lợi,-,-,-,-,(165.212.236.619),(165.212.236.619),,,,,-165212236619.0,-165212236619.0
Trà cổ tức,Trà cổ tức,Trà cổ tức,-,-,-,-,(1.369.669.910.000),(1.369.669.910.000),,,,,-1369669910000.0,-1369669910000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,671.455.103.647,8.049.153.051.226,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,671455103647.0,8049153051226.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,712.964.123.469,712.964.123.469,,,,,712964123469.0,712964123469.0
Trích Quỹ Khen thưởng phúc lợi (1),Trích Quỹ Khen thưởng phúc lợi (1),Trích Quỹ Khen thưởng phúc lợi (1),-,-,-,-,(86.851.250.000),(86.851.250.000),,,,,-86851250000.0,-86851250000.0
Chia cổ tức (2),Chia cổ tức (2),Chia cổ tức (2),-,-,-,-,(782.668.520.000),(782.668.520.000),,,,,-782668520000.0,-782668520000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,514.899.457.116,7.892.597.404.695,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,514899457116.0,7892597404695.0
