row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,
1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,I. Doanh thu > 1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,1.208.984,906.749,6.834.916,-,8.950.649,1208984.0,906749.0,6834916.0,,8950649.0
Doanh thu lãi nội bộ,I. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,1.102.044,518.125,11.772.491,(13.392.660),-,1102044.0,518125.0,11772491.0,-13392660.0,
2. Thu nhập từ hoạt động dịch vụ,I. Doanh thu > 2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,68.203,28.155,522.730,-,619.088,68203.0,28155.0,522730.0,,619088.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,263.437,21.769,811.627,-,1.096.833,263437.0,21769.0,811627.0,,1096833.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,
1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,II. Chi phí > 1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,(873.702),(438.317),(4.970.812),-,(6.282.831),-873702.0,-438317.0,-4970812.0,,-6282831.0
Chi phí lãi nội bộ,II. Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(1.066.890),(794.950),(11.530.820),13.392.660,-,-1066890.0,-794950.0,-11530820.0,13392660.0,
2. Chi phí khấu hao tài sản cố định,II. Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(20.078),(12.275),(106.069),-,(138.422),-20078.0,-12275.0,-106069.0,,-138422.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(299.027),(166.820),(2.157.315),-,(2.623.162),-299027.0,-166820.0,-2157315.0,,-2623162.0
Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,II. Chi phí > Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,382.971,62.436,1.176.748,-,1.622.155,382971.0,62436.0,1176748.0,,1622155.0
Chi phí dự phòng rủi ro,II. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(141.008),(252.690),(210.878),-,(604.576),-141008.0,-252690.0,-210878.0,,-604576.0
Kết quả kinh doanh bộ phận trước thuế TNDN,II. Chi phí > Kết quả kinh doanh bộ phận trước thuế TNDN,Kết quả kinh doanh bộ phận trước thuế TNDN,241.963,(190.254),965.870,-,1.017.579,241963.0,-190254.0,965870.0,,1017579.0
