row_label_raw,row_label_full,2016,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,Thiết bịvăn phòngTriệu VND,Tài săncố định khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài săncố định khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,605.215,598.159,231.850,42.949,555.074,2.033.247,605215.0,598159.0,231850.0,42949.0,555074.0,2033247.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,6.049,12.573,10.749,3.372,26.666,59.409,6049.0,12573.0,10749.0,3372.0,26666.0,59409.0
Phân loại sang tài sản có khác,Nguyên giá > Phân loại sang tài sản có khác,Phân loại sang tài sản có khác,(90.301),-,-,-,-,(90.301),-90301.0,,,,,-90301.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(53.207),157,5.733,(37),(14),(47.368),-53207.0,157.0,5733.0,-37.0,-14.0,-47368.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.892),(666),(16.136),(119),(86),(19.899),-2892.0,-666.0,-16136.0,-119.0,-86.0,-19899.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,464.864,610.223,232.196,46.165,581.640,1.935.088,464864.0,610223.0,232196.0,46165.0,581640.0,1935088.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.297,357.824,163.272,32.506,346.324,928.223,28297.0,357824.0,163272.0,32506.0,346324.0,928223.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.800,56.358,24.855,3.328,57.365,152.706,10800.0,56358.0,24855.0,3328.0,57365.0,152706.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,13.529,(217),2.398,-,222,15.932,13529.0,-217.0,2398.0,,222.0,15932.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(583),(15.494),(119),(75),(16.271),,-583.0,-15494.0,-119.0,-75.0,-16271.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.626,413.382,175.031,35.715,403.836,1.080.590,52626.0,413382.0,175031.0,35715.0,403836.0,1080590.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,576.918,240.335,68.578,10.443,208.750,1.105.024,576918.0,240335.0,68578.0,10443.0,208750.0,1105024.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,412.238,196.841,57.165,10.450,177.804,854.498,412238.0,196841.0,57165.0,10450.0,177804.0,854498.0
