row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn đầu tưXDCB vàmua sắm TSCĐTriệu VND,Thặng dư vốncổ phầnTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Lợi nhuận chưaphân phối/(lỗ lũy kế)Triệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắm TSCĐTriệu VND,numeric__Thặng dư vốncổ phầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Lợi nhuận chưaphân phối/(lỗ lũy kế)Triệu VND,numeric__TổngTriệu VND
Số dư tại ngày1 tháng 1 năm 2016,Số dư tại ngày1 tháng 1 năm 2016,Số dư tại ngày1 tháng 1 năm 2016,12.355.229,15.396,156.322,(78.273),517.338,995.852,326,(817.469),13.144.721,12355229.0,15396.0,156322.0,-78273.0,517338.0,995852.0,326.0,-817469.0,13144721.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,308.932,308.932,,,,,,,,308932.0,308932.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,15.371,30.741,-,(46.112),-,,,,,15371.0,30741.0,,-46112.0,
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(5.225),-,-,(5.225),,,,,,-5225.0,,,-5225.0
Hoàn nhập từ các quỹ đãđược trích lập cho các nămtrước,Hoàn nhập từ các quỹ đãđược trích lập cho các nămtrước,Hoàn nhập từ các quỹ đãđược trích lập cho các nămtrước,-,-,-,-,(31.195),(60.354),-,91.549,-,,,,,-31195.0,-60354.0,,91549.0,
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,(9),(9),,,,,,,,-9.0,-9.0
Số dư tại ngày1 tháng 1 năm 2017,Số dư tại ngày1 tháng 1 năm 2017,Số dư tại ngày1 tháng 1 năm 2017,12.355.229,15.396,156.322,(78.273),501.514,961.014,326,(463.109),13.448.419,12355229.0,15396.0,156322.0,-78273.0,501514.0,961014.0,326.0,-463109.0,13448419.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,822.830,822.830,,,,,,,,822830.0,822830.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,41.408,82.815,-,(124.223),-,,,,,41408.0,82815.0,,-124223.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(68),-,-,(68),,,,,,-68.0,,,-68.0
Trích lập quỹ khen thưởngvà phúc lợi,Trích lập quỹ khen thưởngvà phúc lợi,Trích lập quỹ khen thưởngvà phúc lợi,-,-,-,-,-,-,-,(30.000),(30.000),,,,,,,,-30000.0,-30000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,10.000,10.000,,,,,,,,10000.0,10000.0
Số dư tại ngày31 tháng 12 năm 2017,Số dư tại ngày31 tháng 12 năm 2017,Số dư tại ngày31 tháng 12 năm 2017,12.355.229,15.396,156.322,(78.273),542.922,1.043.761,326,215.498,14.251.181,12355229.0,15396.0,156322.0,-78273.0,542922.0,1043761.0,326.0,215498.0,14251181.0
