row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2017,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,numeric__Từ 10 đến90 ngàyTriệu VND,numeric__Từ 91 đến180 ngàyTriệu VND,numeric__Quá hạnTừ 181 đến360 ngàyTriệu VND,numeric__Trên360 ngàyTriệu VND,numeric__TổngTriệu VND
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,
Cho vay khách hàng – gộp,Các khoản cho vay và phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,268.873,749.644,322.996,514.951,1.856.464,268873.0,749644.0,322996.0,514951.0,1856464.0
Tài sản Có khác – gộp,Các khoản cho vay và phải thu > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,-,6.031,6.031,,,,6031.0,6031.0
,,,268.873,749.644,322.996,520.982,1.862.495,268873.0,749644.0,322996.0,520982.0,1862495.0
Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,,,,,
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Các khoản cho vay và phải thu > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,-,110.550,110.550,,,,110550.0,110550.0
Cho vay khách hàng – gộp,Các khoản cho vay và phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,331.659,1.044.497,318.928,767.111,2.462.195,331659.0,1044497.0,318928.0,767111.0,2462195.0
Tài sản Có khác – gộp,Các khoản cho vay và phải thu > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,107,49.668,49.775,,,107.0,49668.0,49775.0
,,,331.659,1.044.497,319.035,927.329,2.622.520,331659.0,1044497.0,319035.0,927329.0,2622520.0
