row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Quá hạn > Quá hạn trên 3 tháng Triệu VND,Quá hạn > Quá hạn đến 3 tháng Triệu VND,Quá hạn > Đến 1 tháng Triệu VND,Quá hạn > Từ trên 1 đến 3 tháng Triệu VND,Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,Trong hạn > Từ trên 1 đến 5 năm Triệu VND,Trong hạn > Trên 5 năm Triệu VND,Trong hạn > Tổng Triệu VND,numeric__Quá hạn > Quá hạn trên 3 tháng Triệu VND,numeric__Quá hạn > Quá hạn đến 3 tháng Triệu VND,numeric__Quá hạn > Đến 1 tháng Triệu VND,numeric__Quá hạn > Từ trên 1 đến 3 tháng Triệu VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,numeric__Trong hạn > Từ trên 1 đến 5 năm Triệu VND,numeric__Trong hạn > Trên 5 năm Triệu VND,numeric__Trong hạn > Tổng Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,2.282.200,-,-,-,-,2.282.200,,,2282200.0,,,,,2282200.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.277.007,-,-,-,-,3.277.007,,,3277007.0,,,,,3277007.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,15.018.724,227.160,-,-,-,15.245.884,,,15018724.0,227160.0,,,,15245884.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,30.274,-,-,-,-,30.274,,,30274.0,,,,,30274.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.298.430,447.793,6.771.201,14.370.578,27.081.514,12.871.040,37.483.772,101.324.328,2298430.0,447793.0,6771201.0,14370578.0,27081514.0,12871040.0,37483772.0,101324328.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,5.000.150,50.342,2.828.684,8.247.686,5.397.828,21.524.690,,,5000150.0,50342.0,2828684.0,8247686.0,5397828.0,21524690.0
"Gộp vốn, đầu tư dài hạn – gộp","Tài sản > Gộp vốn, đầu tư dài hạn – gộp","Gộp vốn, đầu tư dài hạn – gộp",-,-,1.214.861,-,-,-,265.202,1.480.063,,,1214861.0,,,,265202.0,1480063.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,366,13,7.673,225.269,2.980.873,3.214.194,,,366.0,13.0,7673.0,225269.0,2980873.0,3214194.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,6.031,-,1.187.696,120.216,877.480,1.468.988,-,3.660.411,6031.0,,1187696.0,120216.0,877480.0,1468988.0,,3660411.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.304.461,447.793,34.782.479,14.768.309,30.795.351,22.812.983,46.127.675,152.039.051,2304461.0,447793.0,34782479.0,14768309.0,30795351.0,22812983.0,46127675.0,152039051.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,3.423,24.384,27.910,-,-,55.717,,,3423.0,24384.0,27910.0,,,55717.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,6.107.530,3.970.060,1.178.840,-,-,11.256.430,,,6107530.0,3970060.0,1178840.0,,,11256430.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,52.164.918,17.160.797,36.504.587,11.708.975,419,117.539.696,,,52164918.0,17160797.0,36504587.0,11708975.0,419.0,117539696.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,3.000.000,-,-,-,-,3.000.000,,,3000000.0,,,,,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.919.756,32.441,197.185,117.148,-,3.266.530,,,2919756.0,32441.0,197185.0,117148.0,,3266530.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,64.195.627,21.187.682,37.908.522,11.826.123,419,135.118.373,,,64195627.0,21187682.0,37908522.0,11826123.0,419.0,135118373.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],2.304.461,447.793,(29.413.148),(6.419.373),(7.113.171),10.986.860,46.127.256,16.920.678,2304461.0,447793.0,-29413148.0,-6419373.0,-7113171.0,10986860.0,46127256.0,16920678.0
